OID_,trackField,countryCode,sequence,longitude,latitude
1,UK,11,1,-2.02884615,51.18666087
1001,NO,12,1,15.0039726,58.07597143
2001,FI,13,1,29.12139868,58.39101117
3001,ES,14,1,0.50241411,37.66303416
4001,FR,15,1,6.56387451,46.45836389
5001,DE,16,1,17.58828438,50.3290139
6001,BY,17,1,31.80541086,51.75482481
7001,IT,18,1,16.71418665,39.21498518
8001,MD,19,1,33.07152945,44.40452162
9001,LY,20,1,17.25501878,29.76073475
10001,GR,21,1,27.93872221,35.18259786
11001,EG,22,1,35.5101985,27.0026017
12001,GE,23,1,48.99728607,39.03985923
13001,KW,24,1,52.09314801,26.19267793
14001,TM,25,1,62.63094074,35.11743403
15001,UZ,26,1,73.51552296,38.59805301
16001,RU,27,1,75.6128761,48.85292935
17001,YE,28,1,48.42382901,11.924015
18001,MU,29,1,62.90957889,20.3763847
19001,PK,30,1,77.29800407,28.34404724
2,UK,11,2,-2.051163,51.17012566
1002,NO,12,2,14.98165575,58.06202109
2002,FI,13,2,29.09908183,58.37718415
3002,ES,14,2,0.48009727,37.64215131
4002,FR,15,2,6.54155766,46.44019074
5002,DE,16,2,17.56596753,50.31217289
6002,BY,17,2,31.78309401,51.73849422
7002,IT,18,2,16.6918698,39.19454643
8002,MD,19,2,33.0492126,44.38567493
9002,LY,20,2,17.23270193,29.73783475
10002,GR,21,2,27.91640536,35.16103716
11002,EG,22,2,35.48788165,26.97909837
12002,GE,23,2,48.97496922,39.01936962
13002,KW,24,2,52.07083116,26.16900773
14002,TM,25,2,62.60862389,35.09585607
15002,UZ,26,2,73.49320611,38.57743591
16002,RU,27,2,75.59055925,48.83557093
17002,YE,28,2,48.40151216,11.89820666
18002,MU,29,2,62.88726204,20.35165694
19002,PK,30,2,77.27568722,28.32083063
3,UK,11,3,-2.07364497,51.15367271
1003,NO,12,3,14.95917378,58.04813971
2003,FI,13,3,29.07659986,58.36342545
3003,ES,14,3,0.4576153,37.62137395
4003,FR,15,3,6.51907569,46.42210845
5003,DE,16,3,17.54348556,50.29541573
6003,BY,17,3,31.76061204,51.72224483
7003,IT,18,3,16.66938783,39.17421073
8003,MD,19,3,33.02673063,44.36692268
9003,LY,20,3,17.21021996,29.71505164
10003,GR,21,3,27.89392339,35.13958572
11003,EG,22,3,35.46539968,26.95571546
12003,GE,23,3,48.95248725,38.99898333
13003,KW,24,3,52.04834919,26.14545893
14003,TM,25,3,62.58614192,35.07438746
15003,UZ,26,3,73.47072414,38.55692284
16003,RU,27,3,75.56807728,48.81829906
17003,YE,28,3,48.3790302,11.87253345
18003,MU,29,3,62.86478007,20.32705707
19003,PK,30,3,77.25320525,28.29773275
4,UK,11,4,-2.09629118,51.13730275
1004,NO,12,4,14.93652758,58.03432791
2004,FI,13,4,29.05395365,58.34973571
3004,ES,14,4,0.43496909,37.600703
4004,FR,15,4,6.49642949,46.40411783
5004,DE,16,4,17.52083936,50.27874319
6004,BY,17,4,31.73796583,51.70607736
7004,IT,18,4,16.64674162,39.15397898
8004,MD,19,4,33.00408443,44.3482657
9004,LY,20,4,17.18757376,29.69238639
10004,GR,21,4,27.87127719,35.11824448
11004,EG,22,4,35.44275347,26.93245397
12004,GE,23,4,48.92984105,38.97870127
13004,KW,24,4,52.02570298,26.12203254
14004,TM,25,4,62.56349572,35.05302914
15004,UZ,26,4,73.44807793,38.53651469
16004,RU,27,4,75.54543108,48.80111453
17004,YE,28,4,48.35638399,11.84699645
18004,MU,29,4,62.84213386,20.30258612
19004,PK,30,4,77.23055905,28.27475458
5,UK,11,5,-2.11910072,51.12101654
1005,NO,12,5,14.91371803,58.02058634
2005,FI,13,5,29.0311441,58.33611556
3005,ES,14,5,0.41215954,37.58013936
4005,FR,15,5,6.47361994,46.38621968
5005,DE,16,5,17.49802981,50.262156
6005,BY,17,5,31.71515629,51.68999255
7005,IT,18,5,16.62393208,39.13385208
8005,MD,19,5,32.98127488,44.32970484
9005,LY,20,5,17.16476421,29.66983998
10005,GR,21,5,27.84846764,35.09701437
