x,y,ITT,DATE_TIME,CARNO,TRACKLINE,TRACKNAME,DESTINATIONID,DEST_STATION,DESTSTATIONCODE,DESCRIPTION,DIRECTION,TRIP_DIRECTION
-76.985581,38.881321,474,1.64696E+12,6,Orange,D2,23,Vienna,K08,Potomac Avenue- Track 2; Doors operating manually;,270,2
-77.104757,39.030905,322,1.64696E+12,0,Red,A1,13,Glenmont,B11,,16,1
-76.871923,38.948066,310,1.64696E+12,0,Non-revenue,D2,74,New Carrollton Yard,D99,New Carrollton- Track 2; ,42,1
-77.053594,39.061731,335,1.64696E+12,6,Red,B2,12,Shady Grove,A15,Glenmont- Track 2; Doors open left,136,2
-76.860872,38.895855,428,1.64696E+12,6,Blue,G2,16,Franconia-Springfield,J03,,263,2
-77.072185,38.804309,491,1.64696E+12,6,Non-revenue,C2,99,Alexandria Yard,C99,,274,2
-76.99432,38.931773,323,1.64696E+12,6,Red,B2,12,Shady Grove,A15,Brookland-CUA- Track 2; ,172,2
-76.911843,38.889379,251,1.64696E+12,6,Blue,G1,72,Largo Town Center,G05,Capitol Heights- Track 1; motion;,99,1
-77.167957,38.766457,318,1.64696E+12,6,Blue,J1,72,Largo Town Center,G05,Franconia-Springfield- Track 1; Doors open left,62,1
-77.151746,39.093314,330,1.64696E+12,6,Red,A2,12,Shady Grove,A15,,344,2
-77.02817,38.898318,327,1.64696E+12,6,Blue,C1,72,Largo Town Center,G05,Metro Center Lower- Track 1; Doors operating manually; Doors open left,180,1
-77.147656,38.882934,339,1.64696E+12,6,Silver,K2,64,Wiehle-Reston East,N06,,294,2
-77.050113,38.900644,316,1.64696E+12,6,Orange,C1,20,New Carrollton,D13,Foggy Bottom-GMU- Track 1; motion;,90,1
-77.017559,38.876405,337,1.64696E+12,6,Green,F2,43,Branch Ave.,F11,Waterfront- Track 2; Doors operating manually;,90,2
-77.050573,38.857865,317,1.64696E+12,6,Blue,C1,72,Largo Town Center,G05,Crystal City- Track 1; ,260,1
-77.053501,39.061802,343,1.64696E+12,6,Red,B1,13,Glenmont,B11,Glenmont- Track 1; ,316,1
-77.071115,38.80036,398,1.64696E+12,6,Yellow,C1,24,Greenbelt,E10,Eisenhower Avenue- Track 1; Doors operating manually;,43,1
-77.240093,38.927346,345,1.64696E+12,6,Silver,N1,51,Largo Town Center,G05,Spring Hill- Track 1; ,141,1
-77.061396,38.882018,350,1.64696E+12,6,Blue,C2,16,Franconia-Springfield,J03,,147,2
-77.116729,38.80111,328,1.64696E+12,6,Blue,J2,16,Franconia-Springfield,J03,,253,2
-77.326977,38.944626,308,1.64696E+12,6,Silver,N2,64,Wiehle-Reston East,N06,,272,2
-77.105928,39.033577,342,1.64696E+12,6,Red,A2,12,Shady Grove,A15,,339,2
-77.055923,38.811118,402,1.64696E+12,6,Yellow,C2,31,Huntington,C15,,211,2
-77.227273,38.883694,417,1.64696E+12,6,Orange,K2,23,Vienna,K08,Dunn Loring-Merrifield- Track 2; Doors operating manually; Doors open left,247,2
-77.029204,38.879273,325,1.64696E+12,6,Yellow,F1,24,Greenbelt,E10,,80,1
-76.867677,38.893951,329,1.64696E+12,6,Silver,G1,51,Largo Town Center,G05,Morgan Blvd- Track 1; ,63,1
-76.871817,38.947991,319,1.64696E+12,6,Orange,D1,20,New Carrollton,D13,New Carrollton- Track 1; ,42,1
-77.070222,38.899219,470,1.64696E+12,6,Orange,C2,23,Vienna,K08,,218,2
-77.084957,38.959407,346,1.64696E+12,6,Red,A2,12,Shady Grove,A15,Friendship Heights- Track 2; Doors operating manually; Doors open left,338,2
-77.022798,38.898393,363,1.64696E+12,6,Red,B2,12,Shady Grove,A15,Gallery Place Upper- Track 2; motion;,270,2
-76.933989,38.889827,357,1.64696E+12,6,Silver,G2,64,Wiehle-Reston East,N06,,270,2
-77.028001,38.898332,349,1.64696E+12,6,Silver,C2,64,Wiehle-Reston East,N06,Metro Center Lower- Track 2; Doors operating manually; Doors open left,0,2
-77.003266,38.885022,472,1.64696E+12,0,Orange,D1,20,New Carrollton,D13,Capitol South- Track 1; ,88,1
-77.188895,38.900795,353,1.64696E+12,6,Non-revenue,K3,95,West Falls Church Pocket,K06,West Falls Church-VT/UVA- ,88,1
-76.939926,38.971604,416,1.64696E+12,6,Yellow,E2,31,Huntington,C15,,247,2
-76.910459,39.012014,401,1.64696E+12,0,Green,E2,44,Greenbelt,E10,Greenbelt- Track 2; ,35,1
-77.052636,38.925587,354,1.64696E+12,6,Red,A2,12,Shady Grove,A15,Woodley Park Zoo/Adams Morgan- Track 2; Doors operating manually; Doors open left,336,2
-77.034957,38.996719,348,1.64696E+12,6,Red,B1,13,Glenmont,B11,,314,1
-77.095429,38.886723,338,1.64696E+12,6,Silver,K1,51,Largo Town Center,G05,Clarendon- Track 1; motion; Doors operating manually;,59,1
-77.215822,38.888148,358,1.64696E+12,6,Orange,K1,20,New Carrollton,D13,,61,1
-77.002096,38.951819,355,1.64696E+12,6,Red,B1,13,Glenmont,B11,Fort Totten Upper- Track 1; Doors operating manually;,343,1
-77.014408,38.885126,359,1.64696E+12,6,Blue,D2,16,Franconia-Springfield,J03,,270,2
-77.047824,38.918902,364,1.64696E+12,6,Red,A1,13,Glenmont,B11,,157,1
-77.003204,38.951784,397,1.64696E+12,6,Green,E2,43,Branch Ave.,F11,Fort Totten Lower- Track 2; ,265,2
-77.034847,38.99648,368,1.64696E+12,6,Red,B2,12,Shady Grove,A15,,134,2
-76.956427,38.965272,421,1.64696E+12,6,Yellow,E1,24,Greenbelt,E10,Prince Georges Plaza- Track 1; motion;,90,1
