gauge_id,latitude,longitude,timestamp,name,obsTrend,waterLevelChange_feet,rfc_name,state_abbreviation,state_name,status_observed_floodCategory,status_observed_primary,status_observed_primaryUnit,status_observed_secondary,status_observed_secondaryUnit,wfo_abbreviation,wfo_name
TLUG1,34.73888889,-83.39555556,8/12/2025 10:00 AM,Tallulah River at TALLULAH FALLS DAM,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,1499.08,ft,-999,kcfs,GSP,Greer
SBPN7,36.04972222,-79.85611111,8/12/2025 10:00 AM,South Buffalo Creek near Pomona,Falling,-0.02,Southeast River Forecast Center,NC,North Carolina,no_flooding,1.24,ft,0.0202,kcfs,RAH,Raleigh
TERG1,34.7656,-83.41673,8/12/2025 10:00 AM,Tallulah River at MATHIS-TERRORA DAM,Falling,-0.01,Southeast River Forecast Center,GA,Georgia,no_flooding,1688.76,ft,-999,kcfs,GSP,Greer
ROEG1,34.23222222,-85.11694444,8/12/2025 10:00 AM,Etowah River at GA 1 Loop near Rome,Rising,0.05,Southeast River Forecast Center,GA,Georgia,no_flooding,13.1,ft,0.807,kcfs,FFC,Peachtree City
SEDN7,35.7873,-78.76389,8/12/2025 10:00 AM,Walnut Creek (NC) below Maynard St in Cary,No change,0,Southeast River Forecast Center,NC,North Carolina,no_flooding,1.78,ft,-999,kcfs,RAH,Raleigh
WALN7,35.75833333,-78.58277778,8/12/2025 10:00 AM,Walnut Creek (NC) at Sunnybrook Dr in Raleigh,Falling,-0.2,Southeast River Forecast Center,NC,North Carolina,no_flooding,8.55,ft,0.923,kcfs,RAH,Raleigh
WROV2,36.9293,-81.1322,8/12/2025 10:00 AM,Reed Creek at Old Stage Road near Wytheville,Falling,-0.02,Ohio River Forecast Center,VA,Virginia,no_flooding,5.71,ft,-999,kcfs,RNK,Blacksburg
RTRN7,35.42666667,-82.91972222,8/12/2025 10:00 AM,Pigeon River (NC) near (W Fork) nr Retreat,Rising,0.01,Lower Mississippi River Forecast Center,NC,North Carolina,no_flooding,2.02,ft,0.165,kcfs,GSP,Greer
SMRN7,35.23611111,-80.77111111,8/12/2025 10:00 AM,Briar Creek at Shamrock Drive,Rising,0.39,Southeast River Forecast Center,NC,North Carolina,no_flooding,2,ft,0.053,kcfs,GSP,Greer
TLNG1,34.66666667,-84.92833333,8/12/2025 10:00 AM,Conasauga River at Tilton,No change,0,Southeast River Forecast Center,GA,Georgia,no_flooding,2.91,ft,0.304,kcfs,FFC,Peachtree City
UPCN7,35.78792,-78.770444,8/12/2025 10:00 AM,Walnut Creek (NC) at Clay St,Rising,0.02,Southeast River Forecast Center,NC,North Carolina,no_flooding,0.26,ft,-999,kcfs,RAH,Raleigh
WSTN7,35.206667,-80.921944,8/12/2025 10:00 AM,Taggart Creek at West Blvd (NC 160),Falling,-0.01,Southeast River Forecast Center,NC,North Carolina,no_flooding,1.79,ft,0.0157,kcfs,GSP,Greer
WRLS1,34.39138889,-82.13944444,8/12/2025 10:00 AM,Reedy River above Waterloo,No change,0,Southeast River Forecast Center,SC,South Carolina,no_flooding,4.83,ft,0.213,kcfs,GSP,Greer
RLHN7,35.8375,-78.67388889,8/12/2025 10:00 AM,Crabtree Creek at Glenwood Ave,Falling,-0.12,Southeast River Forecast Center,NC,North Carolina,no_flooding,9.65,ft,1.05,kcfs,RAH,Raleigh
SBHN7,36.03777778,-79.80027778,8/12/2025 10:00 AM,South Buffalo Creek at US220 Nr Greensboro,Falling,-0.02,Southeast River Forecast Center,NC,North Carolina,no_flooding,2.38,ft,0.0074,kcfs,RAH,Raleigh
STEN7,35.240278,-80.868333,8/12/2025 10:00 AM,Stewart Creek at State St.,No change,0,Southeast River Forecast Center,NC,North Carolina,no_flooding,1.02,ft,-999,kcfs,GSP,Greer
