flight_number,timestamp,longitude,latitude,altitude_baro,track_angle,on_ground,origin,destination,ground_speed
EJA948,7/1/2026 16:02,-73.714204,40.709466,1325,234.8300018,F,ACK,JFK,161.5
ASA41,7/1/2026 16:02,-73.770767,40.648945,,120.9400024,T,JFK,SFO,3.8
DAL336,7/1/2026 16:02,-73.657898,40.76825,1950,211.9700012,F,DEN,JFK,166.2
DAL47,7/1/2026 16:02,-73.543417,40.806621,2925,263.7999878,F,AMS,JFK,185.1
EJA948,7/1/2026 16:02,-73.718262,40.706863,1250,226.5299988,F,ACK,JFK,158.4
ASA41,7/1/2026 16:02,-73.770645,40.648888,,120.9400024,T,JFK,SFO,4.3
DAL336,7/1/2026 16:02,-73.660767,40.764816,1950,212.5,F,DEN,JFK,160.1
DAL47,7/1/2026 16:02,-73.549194,40.806152,2925,263.7999878,F,AMS,JFK,185.1
EJA948,7/1/2026 16:02,-73.72132,40.703973,1200,213.6900024,F,ACK,JFK,155
DAL336,7/1/2026 16:02,-73.663452,40.761658,1950,213.1699982,F,DEN,JFK,151.7
ASA41,7/1/2026 16:02,-73.770493,40.648819,,120.9400024,T,JFK,SFO,4.8
DAL47,7/1/2026 16:02,-73.555152,40.805643,2925,263.7999878,F,AMS,JFK,185.1
EJA948,7/1/2026 16:02,-73.723817,40.700715,1150,209.8399963,F,ACK,JFK,148.7
DAL336,7/1/2026 16:02,-73.666077,40.758486,1950,211.5,F,DEN,JFK,145.4
ASA41,7/1/2026 16:02,-73.770353,40.648762,,118.1299973,T,JFK,SFO,5.3
DAL47,7/1/2026 16:02,-73.561332,40.805131,2925,263.7600098,F,AMS,JFK,184.1
EJA948,7/1/2026 16:02,-73.726135,40.697708,1100,210.4700012,F,ACK,JFK,138.1
DAL336,7/1/2026 16:02,-73.668335,40.755615,1950,211.1000061,F,DEN,JFK,141.3
DAL47,7/1/2026 16:02,-73.566956,40.804688,2925,263.7999878,F,AMS,JFK,185.1
ASA41,7/1/2026 16:02,-73.770096,40.648739,,98.4400024,T,JFK,SFO,5.8
EJA948,7/1/2026 16:02,-73.728455,40.694733,1050,212.2400055,F,ACK,JFK,131.2
DAL336,7/1/2026 16:02,-73.670509,40.752853,1925,211.25,F,DEN,JFK,136.9
DAL47,7/1/2026 16:02,-73.573005,40.8042,2925,264.1000061,F,AMS,JFK,185
ASA41,7/1/2026 16:02,-73.769901,40.648762,,81.5599976,T,JFK,SFO,6.8
EJA948,7/1/2026 16:02,-73.730774,40.692078,1000,213.5599976,F,ACK,JFK,124.8
DAL336,7/1/2026 16:02,-73.672818,40.749967,1925,211.0399933,F,DEN,JFK,137.7
DAL47,7/1/2026 16:02,-73.578685,40.803735,2925,264.1000061,F,AMS,JFK,185
ASA41,7/1/2026 16:02,-73.769699,40.64883,,67.5,T,JFK,SFO,7.3
EJA948,7/1/2026 16:03,-73.732931,40.689542,975,212.3600006,F,ACK,JFK,119.6
DAL336,7/1/2026 16:03,-73.675003,40.747174,1925,209.8999939,F,DEN,JFK,138.4
DAL47,7/1/2026 16:03,-73.584717,40.803223,2925,263.1799927,F,AMS,JFK,185.3
ASA41,7/1/2026 16:03,-73.769464,40.648949,,59.0600014,T,JFK,SFO,7.8
DAL336,7/1/2026 16:03,-73.677188,40.744381,1925,211.1799927,F,DEN,JFK,139.1
EJA948,7/1/2026 16:03,-73.734866,40.687028,925,209.25,F,ACK,JFK,114.6
DAL47,7/1/2026 16:03,-73.590271,40.802399,2925,256.6400146,F,AMS,JFK,186
ASA41,7/1/2026 16:03,-73.769241,40.649059,,56.25,T,JFK,SFO,7.8
EJA948,7/1/2026 16:03,-73.736511,40.684708,900,208.1600037,F,ACK,JFK,112.3
DAL336,7/1/2026 16:03,-73.67981,40.741075,1925,211.3099976,F,DEN,JFK,140.5
DAL47,7/1/2026 16:03,-73.595664,40.800895,2900,246.4400024,F,AMS,JFK,187.6
EJA948,7/1/2026 16:03,-73.73822,40.682465,850,211.6799927,F,ACK,JFK,110.5
DAL336,7/1/2026 16:03,-73.682119,40.738143,1925,210.6900024,F,DEN,JFK,143
ASA41,7/1/2026 16:03,-73.768949,40.649181,,64.6900024,T,JFK,SFO,7.3
DAL47,7/1/2026 16:03,-73.601013,40.798645,2825,238.4100037,F,AMS,JFK,189
DAL47,7/1/2026 16:03,-73.60303,40.797683,2800,237.0599976,F,AMS,JFK,189.4
EJA948,7/1/2026 16:03,-73.73999,40.680176,800,210.0700073,F,ACK,JFK,109.8
DAL47,7/1/2026 16:03,-73.603577,40.797409,2800,237.0599976,F,AMS,JFK,189.4
DAL47,7/1/2026 16:03,-73.604065,40.797134,2775,236.6499939,F,AMS,JFK,189.2
DAL47,7/1/2026 16:03,-73.604591,40.796892,2775,236.6499939,F,AMS,JFK,189.2
DAL47,7/1/2026 16:03,-73.605028,40.796659,2750,236.1399994,F,AMS,JFK,190.3
DAL336,7/1/2026 16:03,-73.684753,40.734787,1900,211.1699982,F,DEN,JFK,144.9
DAL47,7/1/2026 16:03,-73.605402,40.796426,2750,236.1399994,F,AMS,JFK,190.3
ASA41,7/1/2026 16:03,-73.768723,40.649197,-50,84.3799973,T,JFK,SFO,6.8
DAL47,7/1/2026 16:03,-73.606026,40.796147,2725,235.7200012,F,AMS,JFK,190
DAL47,7/1/2026 16:03,-73.606401,40.795961,2725,235.7200012,F,AMS,JFK,190
DAL47,7/1/2026 16:03,-73.606934,40.79567,2700,235.4799957,F,AMS,JFK,190.6
DAL47,7/1/2026 16:03,-73.607361,40.795441,2700,235.4799957,F,AMS,JFK,190.6
DAL47,7/1/2026 16:03,-73.607899,40.795123,2675,235.0599976,F,AMS,JFK,190.3
DAL47,7/1/2026 16:03,-73.608398,40.79489,2675,235.0599976,F,AMS,JFK,190.3
EJA948,7/1/2026 16:03,-73.741943,40.67775,750,211.9499969,F,ACK,JFK,109.6
DAL47,7/1/2026 16:03,-73.608887,40.794617,2675,235.0599976,F,AMS,JFK,190.3
DAL47,7/1/2026 16:03,-73.609375,40.794342,2650,235.0599976,F,AMS,JFK,190.3
DAL47,7/1/2026 16:03,-73.609834,40.794145,2650,234.8099976,F,AMS,JFK,190.9
DAL336,7/1/2026 16:03,-73.687195,40.731766,1850,211.7100067,F,DEN,JFK,144.6
DAL47,7/1/2026 16:03,-73.610352,40.793839,2625,234.8099976,F,AMS,JFK,190.9
ASA41,7/1/2026 16:03,-73.768496,40.649158,-50,104.0599976,T,JFK,SFO,6.8
EJA948,7/1/2026 16:03,-73.743792,40.67539,700,210.1399994,F,ACK,JFK,107.5
DAL336,7/1/2026 16:03,-73.689392,40.728973,1775,211.0299988,F,DEN,JFK,143.5
DAL47,7/1/2026 16:03,-73.615265,40.791212,2550,234.8099976,F,AMS,JFK,190.9
ASA41,7/1/2026 16:03,-73.768311,40.649094,-50,112.5,T,JFK,SFO,6.8
EJA948,7/1/2026 16:03,-73.745483,40.673172,650,210.6000061,F,ACK,JFK,108
DAL336,7/1/2026 16:03,-73.691772,40.725906,1700,210.8899994,F,DEN,JFK,142.2
DAL47,7/1/2026 16:03,-73.620117,40.78862,2475,235.0599976,F,AMS,JFK,190.3
EJA948,7/1/2026 16:03,-73.747437,40.670792,600,212.8000031,F,ACK,JFK,107.1
DAL336,7/1/2026 16:03,-73.693848,40.723297,1650,210.5500031,F,DEN,JFK,141.7
DAL47,7/1/2026 16:03,-73.625128,40.785998,2400,235.3000031,F,AMS,JFK,189.7
EJA948,7/1/2026 16:03,-73.749084,40.668732,575,210.4100037,F,ACK,JFK,106.7
DAL336,7/1/2026 16:03,-73.696164,40.720313,1600,211.1000061,F,DEN,JFK,141.3
DAL47,7/1/2026 16:03,-73.630005,40.783401,2300,235.0599976,F,AMS,JFK,190.3
ASA41,7/1/2026 16:03,-73.767638,40.648797,-50,120.9400024,T,JFK,SFO,8.3
DAL47,7/1/2026 16:03,-73.633305,40.781622,2225,234.6399994,F,AMS,JFK,190.1
DAL47,7/1/2026 16:03,-73.633742,40.78139,2225,234.3899994,F,AMS,JFK,190.6
EJA948,7/1/2026 16:03,-73.750784,40.666452,525,208.7400055,F,ACK,JFK,106.1
DAL47,7/1/2026 16:03,-73.634277,40.781113,2200,234.3899994,F,AMS,JFK,190.6
DAL336,7/1/2026 16:03,-73.698608,40.717209,1525,210.9600067,F,DEN,JFK,139.9
DAL47,7/1/2026 16:03,-73.634678,40.780878,2200,234.3899994,F,AMS,JFK,190.6
DAL47,7/1/2026 16:03,-73.63524,40.780552,2175,234.3899994,F,AMS,JFK,190.6
ASA41,7/1/2026 16:03,-73.767404,40.648739,-50,104.0599976,T,JFK,SFO,8.3
EJA948,7/1/2026 16:03,-73.752407,40.664264,475,210.4900055,F,ACK,JFK,104.4
DAL336,7/1/2026 16:03,-73.700928,40.714233,1450,210.6100006,F,DEN,JFK,139.4
DAL47,7/1/2026 16:04,-73.64032,40.777817,2075,234.3899994,F,AMS,JFK,190.6
ASA41,7/1/2026 16:04,-73.767107,40.648797,-50,75.9400024,T,JFK,SFO,7.3
EJA948,7/1/2026 16:04,-73.754089,40.662094,400,211.4299927,F,ACK,JFK,105.5
DAL336,7/1/2026 16:04,-73.703125,40.711441,1400,210.6100006,F,DEN,JFK,139.4
DAL47,7/1/2026 16:04,-73.645691,40.774933,2000,235.3000031,F,AMS,JFK,189.7
ASA41,7/1/2026 16:04,-73.766953,40.648876,-50,56.25,T,JFK,SFO,5.8
EJA948,7/1/2026 16:04,-73.755902,40.659842,375,210.4900055,F,ACK,JFK,104.4
DAL336,7/1/2026 16:04,-73.705444,40.70842,1350,210.8200073,F,DEN,JFK,138.6
DAL47,7/1/2026 16:04,-73.650513,40.772415,1950,234.9600067,F,AMS,JFK,188.1
ASA41,7/1/2026 16:04,-73.766857,40.648995,-50,39.3800011,T,JFK,SFO,5.3
EJA948,7/1/2026 16:04,-73.757568,40.6577,325,211.25,F,ACK,JFK,104.1
DAL336,7/1/2026 16:04,-73.707712,40.70551,1275,210.8200073,F,DEN,JFK,138.6
DAL47,7/1/2026 16:04,-73.655212,40.769531,1925,228.2599945,F,AMS,JFK,186.3
EJA948,7/1/2026 16:04,-73.75946,40.655411,300,211.5299988,F,ACK,JFK,103.2
DAL336,7/1/2026 16:04,-73.709839,40.702789,1225,210.6100006,F,DEN,JFK,139.4
DAL47,7/1/2026 16:04,-73.659485,40.766098,1925,220.8399963,F,AMS,JFK,185
ASA41,7/1/2026 16:04,-73.766678,40.649197,-50,33.75,T,JFK,SFO,6.8
EJA948,7/1/2026 16:04,-73.761292,40.653168,250,211.3500061,F,ACK,JFK,101.9
DAL336,7/1/2026 16:04,-73.712158,40.699814,1150,210.6100006,F,DEN,JFK,139.4
DAL47,7/1/2026 16:04,-73.663025,40.762482,1925,215.0399933,F,AMS,JFK,188.1
EJA948,7/1/2026 16:04,-73.762939,40.651016,225,210.7700043,F,ACK,JFK,103.6
DAL336,7/1/2026 16:04,-73.714417,40.69693,1100,211.0399933,F,DEN,JFK,137.7
DAL47,7/1/2026 16:04,-73.666389,40.758533,1925,211.9400024,F,AMS,JFK,190.9
DAL336,7/1/2026 16:04,-73.716701,40.694058,1025,211.3300018,F,DEN,JFK,134.6
EJA948,7/1/2026 16:04,-73.765076,40.64827,150,211.1600037,F,ACK,JFK,100.5
DAL47,7/1/2026 16:04,-73.669556,40.754562,1925,210.8600006,F,AMS,JFK,191
DAL336,7/1/2026 16:04,-73.718511,40.691683,975,210.2299957,F,DEN,JFK,133.1
DAL47,7/1/2026 16:04,-73.672791,40.750397,1900,210.3399963,F,AMS,JFK,190
EJA948,7/1/2026 16:04,-73.766968,40.645889,100,210.4700012,F,ACK,JFK,98.6
DAL336,7/1/2026 16:04,-73.720886,40.68869,925,211.4100037,F,DEN,JFK,132.4
ASA41,7/1/2026 16:04,-73.766083,40.649929,-50,30.9400005,T,JFK,SFO,7.8
DAL47,7/1/2026 16:04,-73.675903,40.746277,1925,209.9299927,F,AMS,JFK,190.4
EJA948,7/1/2026 16:04,-73.768616,40.643692,50,209.7400055,F,ACK,JFK,96.7
DAL336,7/1/2026 16:04,-73.723256,40.685725,875,211.1799927,F,DEN,JFK,133.3
DAL47,7/1/2026 16:04,-73.678833,40.742477,1925,210.6000061,F,AMS,JFK,190.5
EJA948,7/1/2026 16:04,-73.770325,40.641495,0,210.8600006,F,ACK,JFK,95.5
DAL336,7/1/2026 16:04,-73.725525,40.682831,800,211.6399994,F,DEN,JFK,131.5
DAL47,7/1/2026 16:04,-73.682119,40.738329,1925,210.6000061,F,AMS,JFK,190.5
ASA41,7/1/2026 16:05,-73.765749,40.650368,-50,30.9400005,T,JFK,SFO,7.8
EJA948,7/1/2026 16:05,-73.772339,40.638977,-50,212.3300018,F,ACK,JFK,93.5
DAL336,7/1/2026 16:05,-73.727937,40.679813,725,211.0399933,F,DEN,JFK,131.9
DAL47,7/1/2026 16:05,-73.685115,40.734418,1850,210.2299957,F,AMS,JFK,188.7
EJA948,7/1/2026 16:05,-73.77363,40.637322,-50,210.9400024,T,ACK,JFK,77
DAL336,7/1/2026 16:05,-73.729997,40.677159,675,210.0700073,F,DEN,JFK,131.7
DAL47,7/1/2026 16:05,-73.688174,40.730462,1800,210.5899963,F,AMS,JFK,184.7
EJA948,7/1/2026 16:05,-73.774832,40.635798,-50,210.9400024,T,ACK,JFK,65.5
DAL47,7/1/2026 16:05,-73.690484,40.727482,1725,210.6399994,F,AMS,JFK,182.5
DAL336,7/1/2026 16:05,-73.732182,40.674273,625,210.5099945,F,DEN,JFK,130
DAL47,7/1/2026 16:05,-73.690858,40.727063,1725,210.6399994,F,AMS,JFK,182.5
DAL47,7/1/2026 16:05,-73.691108,40.726691,1725,210.6399994,F,AMS,JFK,182.5
DAL47,7/1/2026 16:05,-73.691467,40.726318,1700,210.8000031,F,AMS,JFK,181.6
DAL47,7/1/2026 16:05,-73.692078,40.725494,1675,210.8000031,F,AMS,JFK,181.6
DAL47,7/1/2026 16:05,-73.692356,40.725108,1675,210.8000031,F,AMS,JFK,181.6
DAL47,7/1/2026 16:05,-73.692669,40.724736,1650,210.8000031,F,AMS,JFK,181.6
EJA948,7/1/2026 16:05,-73.775833,40.634502,-50,210.9400024,T,ACK,JFK,51.5
DAL336,7/1/2026 16:05,-73.734375,40.671478,550,210.5800018,F,DEN,JFK,127.8
ASA41,7/1/2026 16:05,-73.765213,40.650959,,47.8100014,T,JFK,SFO,6.3
DAL47,7/1/2026 16:05,-73.695496,40.7211,1575,210.8000031,F,AMS,JFK,175.8
EJA948,7/1/2026 16:05,-73.776502,40.633644,-50,210.9400024,T,ACK,JFK,34.5
DAL336,7/1/2026 16:05,-73.736302,40.669013,500,211.0399933,F,DEN,JFK,126.1
DAL47,7/1/2026 16:05,-73.698349,40.71752,1500,210.6199951,F,AMS,JFK,170.8
