trackField,sequence,time,message,long,lat
NE1,1,1:00:01 AM,Position 1 for NE1.,1,1
NE2,1,1:00:01 AM,Position 1 for NE2.,1,2
NE3,1,1:00:01 AM,Position 1 for NE3.,1,3
NE4,1,1:00:01 AM,Position 1 for NE4.,1,4
NE5,1,1:00:01 AM,Position 1 for NE5.,1,5
NE6,1,1:00:01 AM,Position 1 for NE6.,1,6
NE7,1,1:00:01 AM,Position 1 for NE7.,1,7
NE8,1,1:00:01 AM,Position 1 for NE8.,1,8
NE9,1,1:00:01 AM,Position 1 for NE9.,1,9
NE10,1,1:00:01 AM,Position 1 for NE10.,1,10
NE11,1,1:00:01 AM,Position 1 for NE11.,1,11
NE12,1,1:00:01 AM,Position 1 for NE12.,1,12
NE13,1,1:00:01 AM,Position 1 for NE13.,1,13
NE14,1,1:00:01 AM,Position 1 for NE14.,1,14
NE15,1,1:00:01 AM,Position 1 for NE15.,1,15
NE16,1,1:00:01 AM,Position 1 for NE16.,1,16
NE17,1,1:00:01 AM,Position 1 for NE17.,1,17
NE18,1,1:00:01 AM,Position 1 for NE18.,1,18
NE19,1,1:00:01 AM,Position 1 for NE19.,1,19
NE20,1,1:00:01 AM,Position 1 for NE20.,1,20
NE21,1,1:00:01 AM,Position 1 for NE21.,1,21
NE22,1,1:00:01 AM,Position 1 for NE22.,1,22
NE23,1,1:00:01 AM,Position 1 for NE23.,1,23
NE24,1,1:00:01 AM,Position 1 for NE24.,1,24
NE25,1,1:00:01 AM,Position 1 for NE25.,1,25
NE26,1,1:00:01 AM,Position 1 for NE26.,1,26
NE27,1,1:00:01 AM,Position 1 for NE27.,1,27
NE28,1,1:00:01 AM,Position 1 for NE28.,1,28
NE29,1,1:00:01 AM,Position 1 for NE29.,1,29
NE30,1,1:00:01 AM,Position 1 for NE30.,1,30
NE31,1,1:00:01 AM,Position 1 for NE31.,1,31
NE32,1,1:00:01 AM,Position 1 for NE32.,1,32
NE33,1,1:00:01 AM,Position 1 for NE33.,1,33
NE34,1,1:00:01 AM,Position 1 for NE34.,1,34
NE35,1,1:00:01 AM,Position 1 for NE35.,1,35
NE36,1,1:00:01 AM,Position 1 for NE36.,1,36
NE37,1,1:00:01 AM,Position 1 for NE37.,1,37
NE38,1,1:00:01 AM,Position 1 for NE38.,1,38
NE39,1,1:00:01 AM,Position 1 for NE39.,1,39
NE40,1,1:00:01 AM,Position 1 for NE40.,1,40
NE41,1,1:00:01 AM,Position 1 for NE41.,1,41
NE42,1,1:00:01 AM,Position 1 for NE42.,1,42
NE43,1,1:00:01 AM,Position 1 for NE43.,1,43
NE44,1,1:00:01 AM,Position 1 for NE44.,1,44
NE45,1,1:00:01 AM,Position 1 for NE45.,1,45
NE46,1,1:00:01 AM,Position 1 for NE46.,1,46
NE47,1,1:00:01 AM,Position 1 for NE47.,1,47
NE48,1,1:00:01 AM,Position 1 for NE48.,1,48
NE49,1,1:00:01 AM,Position 1 for NE49.,1,49
NE50,1,1:00:01 AM,Position 1 for NE50.,1,50
NE51,1,1:00:01 AM,Position 1 for NE51.,2,1
NE52,1,1:00:01 AM,Position 1 for NE52.,2,2
NE53,1,1:00:01 AM,Position 1 for NE53.,2,3
NE54,1,1:00:01 AM,Position 1 for NE54.,2,4
NE55,1,1:00:01 AM,Position 1 for NE55.,2,5
NE56,1,1:00:01 AM,Position 1 for NE56.,2,6
NE57,1,1:00:01 AM,Position 1 for NE57.,2,7
NE58,1,1:00:01 AM,Position 1 for NE58.,2,8
NE59,1,1:00:01 AM,Position 1 for NE59.,2,9
NE60,1,1:00:01 AM,Position 1 for NE60.,2,10
NE61,1,1:00:01 AM,Position 1 for NE61.,2,11
NE62,1,1:00:01 AM,Position 1 for NE62.,2,12
NE63,1,1:00:01 AM,Position 1 for NE63.,2,13
NE64,1,1:00:01 AM,Position 1 for NE64.,2,14
NE65,1,1:00:01 AM,Position 1 for NE65.,2,15
NE66,1,1:00:01 AM,Position 1 for NE66.,2,16
NE67,1,1:00:01 AM,Position 1 for NE67.,2,17
NE68,1,1:00:01 AM,Position 1 for NE68.,2,18
NE69,1,1:00:01 AM,Position 1 for NE69.,2,19
NE70,1,1:00:01 AM,Position 1 for NE70.,2,20
NE71,1,1:00:01 AM,Position 1 for NE71.,2,21
NE72,1,1:00:01 AM,Position 1 for NE72.,2,22
NE73,1,1:00:01 AM,Position 1 for NE73.,2,23
NE74,1,1:00:01 AM,Position 1 for NE74.,2,24
NE75,1,1:00:01 AM,Position 1 for NE75.,2,25
NE76,1,1:00:01 AM,Position 1 for NE76.,2,26
NE77,1,1:00:01 AM,Position 1 for NE77.,2,27
NE78,1,1:00:01 AM,Position 1 for NE78.,2,28
NE79,1,1:00:01 AM,Position 1 for NE79.,2,29
NE80,1,1:00:01 AM,Position 1 for NE80.,2,30
NE81,1,1:00:01 AM,Position 1 for NE81.,2,31
NE82,1,1:00:01 AM,Position 1 for NE82.,2,32
NE83,1,1:00:01 AM,Position 1 for NE83.,2,33
NE84,1,1:00:01 AM,Position 1 for NE84.,2,34
NE85,1,1:00:01 AM,Position 1 for NE85.,2,35
NE86,1,1:00:01 AM,Position 1 for NE86.,2,36
NE87,1,1:00:01 AM,Position 1 for NE87.,2,37
NE88,1,1:00:01 AM,Position 1 for NE88.,2,38
NE89,1,1:00:01 AM,Position 1 for NE89.,2,39
NE90,1,1:00:01 AM,Position 1 for NE90.,2,40
NE91,1,1:00:01 AM,Position 1 for NE91.,2,41
NE92,1,1:00:01 AM,Position 1 for NE92.,2,42
NE93,1,1:00:01 AM,Position 1 for NE93.,2,43
NE94,1,1:00:01 AM,Position 1 for NE94.,2,44
NE95,1,1:00:01 AM,Position 1 for NE95.,2,45
NE96,1,1:00:01 AM,Position 1 for NE96.,2,46
NE97,1,1:00:01 AM,Position 1 for NE97.,2,47
NE98,1,1:00:01 AM,Position 1 for NE98.,2,48
NE99,1,1:00:01 AM,Position 1 for NE99.,2,49
NE100,1,1:00:01 AM,Position 1 for NE100.,2,50
NE101,1,1:00:01 AM,Position 1 for NE101.,3,1
NE102,1,1:00:01 AM,Position 1 for NE102.,3,2
NE103,1,1:00:01 AM,Position 1 for NE103.,3,3
NE104,1,1:00:01 AM,Position 1 for NE104.,3,4
NE105,1,1:00:01 AM,Position 1 for NE105.,3,5
NE106,1,1:00:01 AM,Position 1 for NE106.,3,6
NE107,1,1:00:01 AM,Position 1 for NE107.,3,7
NE108,1,1:00:01 AM,Position 1 for NE108.,3,8
NE109,1,1:00:01 AM,Position 1 for NE109.,3,9
NE110,1,1:00:01 AM,Position 1 for NE110.,3,10
NE111,1,1:00:01 AM,Position 1 for NE111.,3,11
NE112,1,1:00:01 AM,Position 1 for NE112.,3,12
NE113,1,1:00:01 AM,Position 1 for NE113.,3,13
NE114,1,1:00:01 AM,Position 1 for NE114.,3,14
NE115,1,1:00:01 AM,Position 1 for NE115.,3,15
NE116,1,1:00:01 AM,Position 1 for NE116.,3,16
NE117,1,1:00:01 AM,Position 1 for NE117.,3,17
NE118,1,1:00:01 AM,Position 1 for NE118.,3,18
NE119,1,1:00:01 AM,Position 1 for NE119.,3,19
NE120,1,1:00:01 AM,Position 1 for NE120.,3,20
NE121,1,1:00:01 AM,Position 1 for NE121.,3,21
NE122,1,1:00:01 AM,Position 1 for NE122.,3,22
NE123,1,1:00:01 AM,Position 1 for NE123.,3,23
NE124,1,1:00:01 AM,Position 1 for NE124.,3,24
NE125,1,1:00:01 AM,Position 1 for NE125.,3,25
NE126,1,1:00:01 AM,Position 1 for NE126.,3,26
NE127,1,1:00:01 AM,Position 1 for NE127.,3,27
NE128,1,1:00:01 AM,Position 1 for NE128.,3,28
NE129,1,1:00:01 AM,Position 1 for NE129.,3,29
NE130,1,1:00:01 AM,Position 1 for NE130.,3,30
NE131,1,1:00:01 AM,Position 1 for NE131.,3,31
NE132,1,1:00:01 AM,Position 1 for NE132.,3,32
NE133,1,1:00:01 AM,Position 1 for NE133.,3,33
NE134,1,1:00:01 AM,Position 1 for NE134.,3,34
NE135,1,1:00:01 AM,Position 1 for NE135.,3,35
NE136,1,1:00:01 AM,Position 1 for NE136.,3,36
NE137,1,1:00:01 AM,Position 1 for NE137.,3,37
NE138,1,1:00:01 AM,Position 1 for NE138.,3,38
NE139,1,1:00:01 AM,Position 1 for NE139.,3,39
NE140,1,1:00:01 AM,Position 1 for NE140.,3,40
NE141,1,1:00:01 AM,Position 1 for NE141.,3,41
NE142,1,1:00:01 AM,Position 1 for NE142.,3,42
NE143,1,1:00:01 AM,Position 1 for NE143.,3,43
NE144,1,1:00:01 AM,Position 1 for NE144.,3,44
NE145,1,1:00:01 AM,Position 1 for NE145.,3,45
NE146,1,1:00:01 AM,Position 1 for NE146.,3,46
NE147,1,1:00:01 AM,Position 1 for NE147.,3,47
NE148,1,1:00:01 AM,Position 1 for NE148.,3,48
NE149,1,1:00:01 AM,Position 1 for NE149.,3,49
NE150,1,1:00:01 AM,Position 1 for NE150.,3,50
NE151,1,1:00:01 AM,Position 1 for NE151.,4,1
NE152,1,1:00:01 AM,Position 1 for NE152.,4,2
NE153,1,1:00:01 AM,Position 1 for NE153.,4,3
NE154,1,1:00:01 AM,Position 1 for NE154.,4,4
NE155,1,1:00:01 AM,Position 1 for NE155.,4,5
NE156,1,1:00:01 AM,Position 1 for NE156.,4,6
NE157,1,1:00:01 AM,Position 1 for NE157.,4,7
NE158,1,1:00:01 AM,Position 1 for NE158.,4,8
NE159,1,1:00:01 AM,Position 1 for NE159.,4,9
NE160,1,1:00:01 AM,Position 1 for NE160.,4,10
NE161,1,1:00:01 AM,Position 1 for NE161.,4,11
NE162,1,1:00:01 AM,Position 1 for NE162.,4,12
NE163,1,1:00:01 AM,Position 1 for NE163.,4,13
NE164,1,1:00:01 AM,Position 1 for NE164.,4,14
NE165,1,1:00:01 AM,Position 1 for NE165.,4,15
NE166,1,1:00:01 AM,Position 1 for NE166.,4,16
NE167,1,1:00:01 AM,Position 1 for NE167.,4,17
NE168,1,1:00:01 AM,Position 1 for NE168.,4,18
NE169,1,1:00:01 AM,Position 1 for NE169.,4,19
NE170,1,1:00:01 AM,Position 1 for NE170.,4,20
NE171,1,1:00:01 AM,Position 1 for NE171.,4,21
NE172,1,1:00:01 AM,Position 1 for NE172.,4,22
NE173,1,1:00:01 AM,Position 1 for NE173.,4,23
NE174,1,1:00:01 AM,Position 1 for NE174.,4,24
NE175,1,1:00:01 AM,Position 1 for NE175.,4,25
NE176,1,1:00:01 AM,Position 1 for NE176.,4,26
NE177,1,1:00:01 AM,Position 1 for NE177.,4,27
NE178,1,1:00:01 AM,Position 1 for NE178.,4,28
NE179,1,1:00:01 AM,Position 1 for NE179.,4,29
NE180,1,1:00:01 AM,Position 1 for NE180.,4,30
NE181,1,1:00:01 AM,Position 1 for NE181.,4,31
NE182,1,1:00:01 AM,Position 1 for NE182.,4,32
NE183,1,1:00:01 AM,Position 1 for NE183.,4,33
NE184,1,1:00:01 AM,Position 1 for NE184.,4,34
NE185,1,1:00:01 AM,Position 1 for NE185.,4,35
NE186,1,1:00:01 AM,Position 1 for NE186.,4,36
NE187,1,1:00:01 AM,Position 1 for NE187.,4,37
NE188,1,1:00:01 AM,Position 1 for NE188.,4,38
NE189,1,1:00:01 AM,Position 1 for NE189.,4,39
NE190,1,1:00:01 AM,Position 1 for NE190.,4,40
NE191,1,1:00:01 AM,Position 1 for NE191.,4,41
NE192,1,1:00:01 AM,Position 1 for NE192.,4,42
NE193,1,1:00:01 AM,Position 1 for NE193.,4,43
NE194,1,1:00:01 AM,Position 1 for NE194.,4,44
NE195,1,1:00:01 AM,Position 1 for NE195.,4,45
NE196,1,1:00:01 AM,Position 1 for NE196.,4,46
NE197,1,1:00:01 AM,Position 1 for NE197.,4,47
NE198,1,1:00:01 AM,Position 1 for NE198.,4,48
NE199,1,1:00:01 AM,Position 1 for NE199.,4,49
NE200,1,1:00:01 AM,Position 1 for NE200.,4,50
NE201,1,1:00:01 AM,Position 1 for NE201.,5,1
NE202,1,1:00:01 AM,Position 1 for NE202.,5,2
NE203,1,1:00:01 AM,Position 1 for NE203.,5,3
NE204,1,1:00:01 AM,Position 1 for NE204.,5,4
NE205,1,1:00:01 AM,Position 1 for NE205.,5,5
NE206,1,1:00:01 AM,Position 1 for NE206.,5,6
NE207,1,1:00:01 AM,Position 1 for NE207.,5,7
NE208,1,1:00:01 AM,Position 1 for NE208.,5,8
NE209,1,1:00:01 AM,Position 1 for NE209.,5,9
NE210,1,1:00:01 AM,Position 1 for NE210.,5,10
NE211,1,1:00:01 AM,Position 1 for NE211.,5,11
NE212,1,1:00:01 AM,Position 1 for NE212.,5,12
NE213,1,1:00:01 AM,Position 1 for NE213.,5,13
NE214,1,1:00:01 AM,Position 1 for NE214.,5,14
NE215,1,1:00:01 AM,Position 1 for NE215.,5,15
NE216,1,1:00:01 AM,Position 1 for NE216.,5,16
NE217,1,1:00:01 AM,Position 1 for NE217.,5,17
NE218,1,1:00:01 AM,Position 1 for NE218.,5,18
NE219,1,1:00:01 AM,Position 1 for NE219.,5,19
NE220,1,1:00:01 AM,Position 1 for NE220.,5,20
NE221,1,1:00:01 AM,Position 1 for NE221.,5,21
NE222,1,1:00:01 AM,Position 1 for NE222.,5,22
NE223,1,1:00:01 AM,Position 1 for NE223.,5,23
NE224,1,1:00:01 AM,Position 1 for NE224.,5,24
NE225,1,1:00:01 AM,Position 1 for NE225.,5,25
NE226,1,1:00:01 AM,Position 1 for NE226.,5,26
NE227,1,1:00:01 AM,Position 1 for NE227.,5,27
NE228,1,1:00:01 AM,Position 1 for NE228.,5,28
NE229,1,1:00:01 AM,Position 1 for NE229.,5,29
NE230,1,1:00:01 AM,Position 1 for NE230.,5,30
NE231,1,1:00:01 AM,Position 1 for NE231.,5,31
NE232,1,1:00:01 AM,Position 1 for NE232.,5,32
NE233,1,1:00:01 AM,Position 1 for NE233.,5,33
NE234,1,1:00:01 AM,Position 1 for NE234.,5,34
NE235,1,1:00:01 AM,Position 1 for NE235.,5,35
NE236,1,1:00:01 AM,Position 1 for NE236.,5,36
NE237,1,1:00:01 AM,Position 1 for NE237.,5,37
NE238,1,1:00:01 AM,Position 1 for NE238.,5,38
NE239,1,1:00:01 AM,Position 1 for NE239.,5,39
NE240,1,1:00:01 AM,Position 1 for NE240.,5,40
NE241,1,1:00:01 AM,Position 1 for NE241.,5,41
NE242,1,1:00:01 AM,Position 1 for NE242.,5,42
NE243,1,1:00:01 AM,Position 1 for NE243.,5,43
NE244,1,1:00:01 AM,Position 1 for NE244.,5,44
NE245,1,1:00:01 AM,Position 1 for NE245.,5,45
NE246,1,1:00:01 AM,Position 1 for NE246.,5,46
NE247,1,1:00:01 AM,Position 1 for NE247.,5,47
NE248,1,1:00:01 AM,Position 1 for NE248.,5,48
NE249,1,1:00:01 AM,Position 1 for NE249.,5,49
NE250,1,1:00:01 AM,Position 1 for NE250.,5,50
NE251,1,1:00:01 AM,Position 1 for NE251.,6,1
NE252,1,1:00:01 AM,Position 1 for NE252.,6,2
NE253,1,1:00:01 AM,Position 1 for NE253.,6,3
NE254,1,1:00:01 AM,Position 1 for NE254.,6,4
NE255,1,1:00:01 AM,Position 1 for NE255.,6,5
NE256,1,1:00:01 AM,Position 1 for NE256.,6,6
NE257,1,1:00:01 AM,Position 1 for NE257.,6,7
NE258,1,1:00:01 AM,Position 1 for NE258.,6,8
NE259,1,1:00:01 AM,Position 1 for NE259.,6,9
NE260,1,1:00:01 AM,Position 1 for NE260.,6,10
NE261,1,1:00:01 AM,Position 1 for NE261.,6,11
NE262,1,1:00:01 AM,Position 1 for NE262.,6,12
NE263,1,1:00:01 AM,Position 1 for NE263.,6,13
NE264,1,1:00:01 AM,Position 1 for NE264.,6,14
NE265,1,1:00:01 AM,Position 1 for NE265.,6,15
NE266,1,1:00:01 AM,Position 1 for NE266.,6,16
NE267,1,1:00:01 AM,Position 1 for NE267.,6,17
NE268,1,1:00:01 AM,Position 1 for NE268.,6,18
NE269,1,1:00:01 AM,Position 1 for NE269.,6,19
NE270,1,1:00:01 AM,Position 1 for NE270.,6,20
NE271,1,1:00:01 AM,Position 1 for NE271.,6,21
NE272,1,1:00:01 AM,Position 1 for NE272.,6,22
NE273,1,1:00:01 AM,Position 1 for NE273.,6,23
NE274,1,1:00:01 AM,Position 1 for NE274.,6,24
NE275,1,1:00:01 AM,Position 1 for NE275.,6,25
NE276,1,1:00:01 AM,Position 1 for NE276.,6,26
NE277,1,1:00:01 AM,Position 1 for NE277.,6,27
NE278,1,1:00:01 AM,Position 1 for NE278.,6,28
NE279,1,1:00:01 AM,Position 1 for NE279.,6,29
NE280,1,1:00:01 AM,Position 1 for NE280.,6,30
NE281,1,1:00:01 AM,Position 1 for NE281.,6,31
NE282,1,1:00:01 AM,Position 1 for NE282.,6,32
NE283,1,1:00:01 AM,Position 1 for NE283.,6,33
NE284,1,1:00:01 AM,Position 1 for NE284.,6,34
NE285,1,1:00:01 AM,Position 1 for NE285.,6,35
NE286,1,1:00:01 AM,Position 1 for NE286.,6,36
NE287,1,1:00:01 AM,Position 1 for NE287.,6,37
NE288,1,1:00:01 AM,Position 1 for NE288.,6,38
NE289,1,1:00:01 AM,Position 1 for NE289.,6,39
NE290,1,1:00:01 AM,Position 1 for NE290.,6,40
NE291,1,1:00:01 AM,Position 1 for NE291.,6,41
NE292,1,1:00:01 AM,Position 1 for NE292.,6,42
NE293,1,1:00:01 AM,Position 1 for NE293.,6,43
NE294,1,1:00:01 AM,Position 1 for NE294.,6,44
NE295,1,1:00:01 AM,Position 1 for NE295.,6,45
NE296,1,1:00:01 AM,Position 1 for NE296.,6,46
NE297,1,1:00:01 AM,Position 1 for NE297.,6,47
NE298,1,1:00:01 AM,Position 1 for NE298.,6,48
NE299,1,1:00:01 AM,Position 1 for NE299.,6,49
NE300,1,1:00:01 AM,Position 1 for NE300.,6,50
NE301,1,1:00:01 AM,Position 1 for NE301.,6,1
NE302,1,1:00:01 AM,Position 1 for NE302.,6,2
NE303,1,1:00:01 AM,Position 1 for NE303.,6,3
NE304,1,1:00:01 AM,Position 1 for NE304.,6,4
NE305,1,1:00:01 AM,Position 1 for NE305.,6,5
