flight_number,timestamp,longitude,latitude,altitude_baro,track_angle,on_ground,origin,destination,ground_speed
DAL336,7/1/2026 4:00:00 PM,-73.51095700,40.79889300,3800,306.76000980,F,DEN,JFK,212.2
DAL47,7/1/2026 4:00:00 PM,-73.39709500,40.76088000,3650,317.82000730,F,AMS,JFK,215.9
DAL336,7/1/2026 4:00:01 PM,-73.51145700,40.79917300,3775,306.76000980,F,DEN,JFK,212.2
DAL47,7/1/2026 4:00:01 PM,-73.39758300,40.76129200,3625,317.82000730,F,AMS,JFK,215.9
DAL336,7/1/2026 4:00:01 PM,-73.51196300,40.79946900,3775,306.76000980,F,DEN,JFK,212.2
DAL47,7/1/2026 4:00:01 PM,-73.39803500,40.76169800,3625,317.82000730,F,AMS,JFK,215.9
DAL336,7/1/2026 4:00:02 PM,-73.51251800,40.79977800,3750,306.76000980,F,DEN,JFK,212.2
DAL47,7/1/2026 4:00:02 PM,-73.39856000,40.76207000,3625,317.82000730,F,AMS,JFK,215.9
DAL336,7/1/2026 4:00:02 PM,-73.51314200,40.80010400,3750,306.76000980,F,DEN,JFK,212.2
DAL47,7/1/2026 4:00:03 PM,-73.39898700,40.76248200,3600,317.82000730,F,AMS,JFK,215.9
DAL336,7/1/2026 4:00:03 PM,-73.51364100,40.80043000,3725,306.76000980,F,DEN,JFK,212.2
DAL47,7/1/2026 4:00:03 PM,-73.39941400,40.76284800,3600,317.82000730,F,AMS,JFK,215.9
DAL336,7/1/2026 4:00:03 PM,-73.51407800,40.80066200,3725,306.76000980,F,DEN,JFK,212.2
DAL336,7/1/2026 4:00:03 PM,-73.51452600,40.80093400,3700,306.76000980,F,DEN,JFK,212.2
DAL47,7/1/2026 4:00:04 PM,-73.39990800,40.76323400,3575,317.82000730,F,AMS,JFK,215.9
DAL336,7/1/2026 4:00:04 PM,-73.51501500,40.80117400,3700,306.76000980,F,DEN,JFK,212.2
DAL47,7/1/2026 4:00:04 PM,-73.40026900,40.76358000,3575,317.82000730,F,AMS,JFK,215.9
DAL336,7/1/2026 4:00:04 PM,-73.51551400,40.80150000,3675,306.76000980,F,DEN,JFK,212.2
DAL47,7/1/2026 4:00:04 PM,-73.40071900,40.76388600,3575,317.82000730,F,AMS,JFK,215.9
EJA948,7/1/2026 4:00:05 PM,-73.59405500,40.76518200,1925,267.14001460,F,ACK,JFK,180.2
DAL336,7/1/2026 4:00:05 PM,-73.51588900,40.80173300,3675,306.76000980,F,DEN,JFK,212.2
DAL47,7/1/2026 4:00:05 PM,-73.40118400,40.76431300,3550,317.82000730,F,AMS,JFK,215.9
DAL336,7/1/2026 4:00:05 PM,-73.51635700,40.80198700,3650,306.76000980,F,DEN,JFK,212.2
DAL47,7/1/2026 4:00:06 PM,-73.40165600,40.76472400,3550,317.82000730,F,AMS,JFK,215.9
DAL336,7/1/2026 4:00:06 PM,-73.51702900,40.80235300,3650,306.76000980,F,DEN,JFK,212.2
DAL336,7/1/2026 4:00:06 PM,-73.51757400,40.80266400,3625,306.76000980,F,DEN,JFK,212.2
DAL336,7/1/2026 4:00:07 PM,-73.51806600,40.80290200,3625,306.54000850,F,DEN,JFK,211.6
DAL336,7/1/2026 4:00:07 PM,-73.51855500,40.80322300,3600,306.54000850,F,DEN,JFK,211.6
DAL336,7/1/2026 4:00:08 PM,-73.51913500,40.80350200,3575,306.17001340,F,DEN,JFK,211.8
DAL336,7/1/2026 4:00:08 PM,-73.51959200,40.80377200,3575,306.17001340,F,DEN,JFK,211.8
DAL336,7/1/2026 4:00:09 PM,-73.52007100,40.80401400,3550,305.41000370,F,DEN,JFK,212.3
DAL336,7/1/2026 4:00:09 PM,-73.52056900,40.80427600,3550,305.41000370,F,DEN,JFK,212.3
DAL336,7/1/2026 4:00:10 PM,-73.52119400,40.80457300,3525,304.22000120,F,DEN,JFK,211.6
EJA948,7/1/2026 4:00:10 PM,-73.59979200,40.76486200,1950,266.25000000,F,ACK,JFK,183.4
DAL336,7/1/2026 4:00:10 PM,-73.52163100,40.80475900,3525,304.22000120,F,DEN,JFK,211.6
DAL47,7/1/2026 4:00:11 PM,-73.40615000,40.76849500,3450,317.64001460,F,AMS,JFK,215.2
DAL336,7/1/2026 4:00:11 PM,-73.52221700,40.80505400,3500,302.86999510,F,DEN,JFK,211.9
DAL336,7/1/2026 4:00:11 PM,-73.52288800,40.80537400,3500,301.29000850,F,DEN,JFK,211.8
DAL336,7/1/2026 4:00:12 PM,-73.52343800,40.80560300,3475,301.29000850,F,DEN,JFK,211.8
DAL336,7/1/2026 4:00:12 PM,-73.52406600,40.80587600,3475,299.70999150,F,DEN,JFK,211.9
DAL336,7/1/2026 4:00:13 PM,-73.52453600,40.80610700,3450,299.70999150,F,DEN,JFK,211.9
RPA4385,7/1/2026 4:00:13 PM,-73.76583900,40.65027200,-50,30.94000050,T,JFK,IND,15.5
DAL336,7/1/2026 4:00:13 PM,-73.52514600,40.80629000,3425,299.70999150,F,DEN,JFK,211.9
DAL336,7/1/2026 4:00:14 PM,-73.52575100,40.80657400,3425,297.52999880,F,DEN,JFK,212
DAL336,7/1/2026 4:00:14 PM,-73.52637600,40.80676100,3400,295.72000120,F,DEN,JFK,212
DAL336,7/1/2026 4:00:15 PM,-73.52706200,40.80699300,3375,295.72000120,F,DEN,JFK,212
EJA948,7/1/2026 4:00:15 PM,-73.60583500,40.76463300,1950,266.89001460,F,ACK,JFK,184.3
DAL336,7/1/2026 4:00:16 PM,-73.52768600,40.80718000,3375,293.41000370,F,DEN,JFK,211.4
DAL47,7/1/2026 4:00:16 PM,-73.41095000,40.77250700,3375,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:16 PM,-73.52874800,40.80750500,3350,293.41000370,F,DEN,JFK,211.4
DAL336,7/1/2026 4:00:17 PM,-73.52929700,40.80766300,3325,291.25000000,F,DEN,JFK,212.4
DAL336,7/1/2026 4:00:17 PM,-73.52990700,40.80780000,3325,291.25000000,F,DEN,JFK,212.4
DAL336,7/1/2026 4:00:18 PM,-73.53049500,40.80792400,3300,289.29000850,F,DEN,JFK,211.9
DAL336,7/1/2026 4:00:18 PM,-73.53099500,40.80806400,3300,289.29000850,F,DEN,JFK,211.9
DAL47,7/1/2026 4:00:19 PM,-73.41320800,40.77438400,3325,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:19 PM,-73.53168100,40.80820400,3275,286.98001100,F,DEN,JFK,212.3
DAL47,7/1/2026 4:00:19 PM,-73.41363500,40.77475000,3300,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:19 PM,-73.53228800,40.80830400,3250,286.98001100,F,DEN,JFK,212.3
DAL47,7/1/2026 4:00:20 PM,-73.41414000,40.77515200,3300,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:20 PM,-73.53302000,40.80844100,3250,284.69000240,F,DEN,JFK,213
EJA948,7/1/2026 4:00:20 PM,-73.61133200,40.76439800,1925,267.50000000,F,ACK,JFK,183.2
DAL47,7/1/2026 4:00:20 PM,-73.41457700,40.77552400,3275,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:20 PM,-73.53369100,40.80853300,3225,284.69000240,F,DEN,JFK,213
DAL47,7/1/2026 4:00:21 PM,-73.41503900,40.77594000,3275,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:21 PM,-73.53418000,40.80862400,3200,282.47000120,F,DEN,JFK,213
DAL336,7/1/2026 4:00:21 PM,-73.53485100,40.80871600,3200,282.47000120,F,DEN,JFK,213
DAL47,7/1/2026 4:00:21 PM,-73.41551300,40.77636200,3275,317.64999390,F,AMS,JFK,213.8
DAL47,7/1/2026 4:00:22 PM,-73.41601300,40.77668800,3250,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:22 PM,-73.53558300,40.80880700,3175,279.98999020,F,DEN,JFK,213.2
DAL47,7/1/2026 4:00:22 PM,-73.41644300,40.77713000,3250,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:22 PM,-73.53630100,40.80885500,3150,279.98999020,F,DEN,JFK,213.2
DAL336,7/1/2026 4:00:23 PM,-73.53680000,40.80890200,3150,277.79000850,F,DEN,JFK,214
DAL47,7/1/2026 4:00:23 PM,-73.41688700,40.77743300,3225,317.64999390,F,AMS,JFK,213.8
DAL47,7/1/2026 4:00:23 PM,-73.41732400,40.77780500,3225,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:23 PM,-73.53748700,40.80894900,3125,277.79000850,F,DEN,JFK,214
DAL47,7/1/2026 4:00:24 PM,-73.41763600,40.77808400,3200,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:24 PM,-73.53820800,40.80899000,3125,275.63000490,F,DEN,JFK,214
DAL47,7/1/2026 4:00:24 PM,-73.41815200,40.77850300,3200,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:24 PM,-73.53869600,40.80899000,3100,273.73999020,F,DEN,JFK,214.5
DAL47,7/1/2026 4:00:25 PM,-73.41857900,40.77887000,3200,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:25 PM,-73.53949000,40.80903600,3100,273.73999020,F,DEN,JFK,214.5
DAL47,7/1/2026 4:00:25 PM,-73.41894700,40.77920200,3175,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:25 PM,-73.54010800,40.80904200,3075,273.73999020,F,DEN,JFK,214.5
DAL47,7/1/2026 4:00:26 PM,-73.41938400,40.77957400,3175,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:26 PM,-73.54083300,40.80908200,3075,271.85998540,F,DEN,JFK,215.1
EJA948,7/1/2026 4:00:26 PM,-73.61810300,40.76417500,1925,267.50000000,F,ACK,JFK,183.2
DAL47,7/1/2026 4:00:26 PM,-73.41986100,40.77996800,3150,317.64999390,F,AMS,JFK,213.8
RPA4385,7/1/2026 4:00:26 PM,-73.76524400,40.65093600,-50,45.00000000,T,JFK,IND,12.3
DAL336,7/1/2026 4:00:27 PM,-73.54156500,40.80908200,3050,270.52999880,F,DEN,JFK,215
DAL47,7/1/2026 4:00:27 PM,-73.42025800,40.78027200,3150,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:27 PM,-73.54235800,40.80908200,3025,270.52999880,F,DEN,JFK,215
DAL47,7/1/2026 4:00:27 PM,-73.42065400,40.78060900,3125,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:28 PM,-73.54303000,40.80903600,3025,269.47000120,F,DEN,JFK,215
DAL47,7/1/2026 4:00:28 PM,-73.42120400,40.78106700,3125,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:28 PM,-73.54370100,40.80903600,3025,269.47000120,F,DEN,JFK,215
DAL47,7/1/2026 4:00:28 PM,-73.42156800,40.78139000,3125,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:29 PM,-73.54429100,40.80899500,3000,268.39999390,F,DEN,JFK,215.1
DAL47,7/1/2026 4:00:29 PM,-73.42199700,40.78170800,3100,317.64999390,F,AMS,JFK,213.8
DAL47,7/1/2026 4:00:29 PM,-73.42238000,40.78204100,3100,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:29 PM,-73.54504000,40.80899500,2975,268.39999390,F,DEN,JFK,215.1
DAL47,7/1/2026 4:00:30 PM,-73.42279100,40.78239400,3100,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:30 PM,-73.54572600,40.80894900,2975,267.60000610,F,DEN,JFK,215.2
DAL336,7/1/2026 4:00:30 PM,-73.54622600,40.80894900,2975,267.60000610,F,DEN,JFK,215.2
DAL47,7/1/2026 4:00:30 PM,-73.42321800,40.78276100,3075,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:31 PM,-73.54681400,40.80889900,2950,267.60000610,F,DEN,JFK,215.2
DAL47,7/1/2026 4:00:31 PM,-73.42376700,40.78317300,3075,317.64999390,F,AMS,JFK,213.8
DAL336,7/1/2026 4:00:31 PM,-73.54753700,40.80890200,2950,266.80999760,F,DEN,JFK,215.3
DAL336,7/1/2026 4:00:32 PM,-73.54827900,40.80885300,2925,266.26998900,F,DEN,JFK,215.5
EJA948,7/1/2026 4:00:32 PM,-73.62425400,40.76393300,1925,266.86999510,F,ACK,JFK,183.3
DAL336,7/1/2026 4:00:32 PM,-73.54882800,40.80880700,2925,266.26998900,F,DEN,JFK,215.5
DAL336,7/1/2026 4:00:33 PM,-73.54962200,40.80876200,2900,265.73999020,F,DEN,JFK,215.6
DAL336,7/1/2026 4:00:33 PM,-73.55015800,40.80876200,2900,265.73999020,F,DEN,JFK,215.6
DAL336,7/1/2026 4:00:34 PM,-73.55084500,40.80871600,2900,265.20999150,F,DEN,JFK,215.8
DAL336,7/1/2026 4:00:34 PM,-73.55134400,40.80866900,2875,265.20999150,F,DEN,JFK,215.8
DAL336,7/1/2026 4:00:35 PM,-73.55215600,40.80862300,2875,265.20999150,F,DEN,JFK,215.8
DAL336,7/1/2026 4:00:35 PM,-73.55285600,40.80857800,2850,264.95001220,F,DEN,JFK,215.8
DAL336,7/1/2026 4:00:36 PM,-73.55359200,40.80848300,2850,264.66000370,F,DEN,JFK,214.9
DAL47,7/1/2026 4:00:36 PM,-73.42806000,40.78679000,2975,317.47000120,F,AMS,JFK,213
DAL336,7/1/2026 4:00:36 PM,-73.55432100,40.80844100,2850,264.66000370,F,DEN,JFK,214.9
DAL336,7/1/2026 4:00:37 PM,-73.55481000,40.80839500,2825,264.39999390,F,DEN,JFK,215
DAL336,7/1/2026 4:00:37 PM,-73.55560300,40.80835000,2825,264.39999390,F,DEN,JFK,215
EJA948,7/1/2026 4:00:37 PM,-73.63024600,40.76370000,1950,266.89001460,F,ACK,JFK,184.3
DAL336,7/1/2026 4:00:38 PM,-73.55621300,40.80829700,2825,264.36999510,F,DEN,JFK,214
DAL336,7/1/2026 4:00:38 PM,-73.55696200,40.80825000,2800,264.36999510,F,DEN,JFK,214
DAL336,7/1/2026 4:00:39 PM,-73.55755600,40.80821200,2800,264.36999510,F,DEN,JFK,214
DAL336,7/1/2026 4:00:39 PM,-73.55827300,40.80815700,2800,264.10000610,F,DEN,JFK,214.1
