flight_number,timestamp,altitude_baro,ground_speed,air_speed,latitude,longitude,track_angle,roll_angle,emergency,wind_direction,wind_speed,temperature,on_ground,lga_type,origin,destination
UAL709,7/1/2026 4:00:00 PM,6175,296.3,254,40.5429960000,-74.1117720000,70.8899994,-0.35,none,256,15,17,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:00 PM,5000,279.9,249,40.6526260000,-73.9899860000,35.1100006,-0.35,none,280,16,18,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:01 PM,6175,296.3,254,40.5432130000,-74.1109010000,70.8899994,-0.35,none,256,15,17,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:01 PM,6150,296.3,254,40.5434420000,-74.1101070000,70.8899994,-0.35,none,256,15,17,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:02 PM,6150,296.3,254,40.5436470000,-74.1092130000,70.8899994,-0.35,none,256,15,17,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:02 PM,6125,296.3,254,40.5439270000,-74.1082140000,70.8899994,-0.35,none,256,15,17,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:03 PM,6125,295.4,253,40.5441130000,-74.1075270000,70.8300018,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:03 PM,6100,295.4,253,40.5443120000,-74.1066890000,70.8300018,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:04 PM,6100,295.1,253,40.5445320000,-74.1058420000,71.0100021,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:04 PM,6100,295.1,253,40.5448580000,-74.1046560000,71.0100021,-0.53,none,257,14,18,F,arrival,ORD,LGA
SWA4044,7/1/2026 4:00:05 PM,35275,473.3,,41.3437500000,-79.3325200000,97.7699966,,none,,,,F,arrival,MDW,LGA
UAL709,7/1/2026 4:00:05 PM,6075,295.1,253,40.5450440000,-74.1039690000,71.0100021,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:05 PM,6075,295.1,253,40.5452730000,-74.1031490000,71.0100021,-0.53,none,257,14,18,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:06 PM,4925,279.9,249,40.6580660000,-73.9849240000,35.1100006,-0.35,none,282,16,18,F,arrival,MIA,LGA
UAL2133,7/1/2026 4:00:06 PM,17975,418.4,297,40.9083840000,-76.1885000000,107.9599991,-0.35,none,296,25,-11,F,arrival,IAH,LGA
UAL709,7/1/2026 4:00:06 PM,6050,295.1,253,40.5454630000,-74.1022840000,71.0100021,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:06 PM,6050,294.1,253,40.5456960000,-74.1014720000,70.9499969,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:07 PM,6050,294.1,253,40.5459140000,-74.1005860000,70.9499969,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:07 PM,6025,294.1,253,40.5461610000,-74.0997870000,70.9499969,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:08 PM,6025,294.1,253,40.5463710000,-74.0989380000,70.9499969,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:08 PM,6000,294.1,253,40.5465550000,-74.0982670000,70.9499969,-0.53,none,257,14,18,F,arrival,ORD,LGA
AAL1056,7/1/2026 4:00:08 PM,32450,474.6,275,41.1488260000,-77.6140390000,99.5800018,-0.18,none,293,15,-37,F,arrival,DFW,LGA
SWA1078,7/1/2026 4:00:09 PM,37000,464.7,,36.2742000000,-79.5732310000,55.0800018,,none,,,,F,arrival,LAS,LGA
UAL709,7/1/2026 4:00:09 PM,6000,294.1,253,40.5467660000,-74.0974150000,70.9499969,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:09 PM,6000,294.1,253,40.5469530000,-74.0967280000,70.9499969,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL669,7/1/2026 4:00:09 PM,35000,455,,41.5875550000,-81.7785440000,98.4700012,,none,,,,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:10 PM,5975,294.4,253,40.5471390000,-74.0960420000,70.7699966,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:10 PM,5975,294.4,253,40.5473330000,-74.0952150000,70.7699966,-0.53,none,257,14,18,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:10 PM,4850,279.9,249,40.6632870000,-73.9801230000,35.1100006,-0.35,none,282,16,18,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:11 PM,5975,293.5,253,40.5476510000,-74.0942310000,70.6999969,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:11 PM,5950,293.5,253,40.5479300000,-74.0932330000,70.6999969,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:12 PM,5950,293.8,253,40.5481110000,-74.0923460000,70.5199966,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:12 PM,5925,293.8,253,40.5483960000,-74.0913600000,70.5199966,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:13 PM,5925,293.2,253,40.5486600000,-74.0905150000,70.2699966,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:13 PM,5900,293.2,253,40.5489080000,-74.0897370000,70.2699966,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:14 PM,5900,293,253,40.5491180000,-74.0888670000,69.8300018,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:14 PM,5875,293,253,40.5493470000,-74.0882570000,69.8300018,-0.53,none,257,14,18,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:15 PM,5875,293.1,251,40.5496060000,-74.0874270000,69.2200012,-15.29,none,235,13,20,F,arrival,ORD,LGA
SWA4044,7/1/2026 4:00:15 PM,35125,472.5,,41.3407150000,-79.3031870000,97.9100037,,none,,,,F,arrival,MDW,LGA
UAL709,7/1/2026 4:00:15 PM,5850,293.1,251,40.5498500000,-74.0866090000,69.2200012,-15.29,none,235,13,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:16 PM,5850,292.7,251,40.5501180000,-74.0857420000,68.3399963,-15.29,none,208,17,20,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:16 PM,4750,279.1,250,40.6690130000,-73.9748170000,35.2299995,0,none,285,16,18,F,arrival,MIA,LGA
UAL2133,7/1/2026 4:00:16 PM,18000,418.4,295,40.9023320000,-76.1639680000,107.9599991,-0.35,none,296,25,-11,F,arrival,IAH,LGA
UAL709,7/1/2026 4:00:16 PM,5825,292.7,251,40.5503970000,-74.0849930000,68.3399963,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:17 PM,5825,292.3,251,40.5506300000,-74.0843060000,67.4700012,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:17 PM,5825,292.3,251,40.5508580000,-74.0834960000,67.4700012,-15.29,none,208,17,20,F,arrival,ORD,LGA
