origin,name,joinID,symbolname,symbolentity,symbolset,identity,specialentitysubtype,sidc,x,y,sequence,order,time
1,,100,Command and Control : Signal : Radio,111001,10,3,,,1034036.152,798735.1454,1,1.00001,
1,,100,Command and Control : Signal : Radio,111001,10,3,,,1055676.674,821251.6415,2,2.00001,
1,,100,Command and Control : Signal : Radio,111001,10,3,,,1077166.416,843960.0332,3,3.00001,
1,,100,Command and Control : Signal : Radio,111001,10,3,,,1088381.676,873186.0114,4,4.00001,
1,,100,Command and Control : Signal : Radio,111001,10,3,,,1110678.512,893763.7547,5,5.00001,
1,,100,Command and Control : Signal : Radio,111001,10,3,,,1133176.941,915118.443,6,6.00001,
1,,100,Command and Control : Signal : Radio,111001,10,3,,,1159481.309,929678.1757,7,7.00001,
1,,100,Command and Control : Signal : Radio,111001,10,3,,,1182926.514,951017.5484,8,8.00001,
1,,100,Command and Control : Signal : Radio,111001,10,3,,,1207172.124,970822.6948,9,9.00001,
1,,100,Command and Control : Signal : Radio,111001,10,3,,,1234158.214,985648.3545,10,10.00001,
1,,100,Command and Control : Signal : Radio,111001,10,3,,,1261859.438,998683.4973,11,11.00001,
1,,100,Command and Control : Signal : Radio,111001,10,3,,,1261859.438,998683.4973,12,12.00001,
2,,116,Fires : Air Defense,130100,10,3,,,1538095.894,247531.5091,1,1.00002,
2,,116,Fires : Air Defense,130100,10,3,,,1512455.028,246465.1083,2,2.00002,
2,,116,Fires : Air Defense,130100,10,3,,,1493489.059,256350,3,3.00002,
2,,116,Fires : Air Defense,130100,10,3,,,1493167.501,281038.8913,4,4.00002,
2,,116,Fires : Air Defense,130100,10,3,,,1478278.426,299633.5436,5,5.00002,
2,,116,Fires : Air Defense,130100,10,3,,,1452502.583,303031.0486,6,6.00002,
2,,116,Fires : Air Defense,130100,10,3,,,1426239.613,295730.2749,7,7.00002,
2,,116,Fires : Air Defense,130100,10,3,,,1403356.018,306246.8713,8,8.00002,
2,,116,Fires : Air Defense,130100,10,3,,,1378916.679,312890.2074,9,9.00002,
2,,116,Fires : Air Defense,130100,10,3,,,1353197.2,312110.8273,10,10.00002,
2,,116,Fires : Air Defense,130100,10,3,,,1333312.77,326485.8361,11,11.00002,
2,,116,Fires : Air Defense,130100,10,3,,,1333312.77,326485.8361,12,12.00002,
3,,128,Protection : Fire Fighting/Fire Protection,141000,10,3,96,,1298084.515,429861.8396,1,1.00003,
3,,128,Protection : Fire Fighting/Fire Protection,141000,10,3,96,,1321237.953,434656.8163,2,2.00003,
3,,128,Protection : Fire Fighting/Fire Protection,141000,10,3,96,,1347473.365,434396.1834,3,3.00003,
3,,128,Protection : Fire Fighting/Fire Protection,141000,10,3,96,,1374813.116,433375.1661,4,4.00003,
3,,128,Protection : Fire Fighting/Fire Protection,141000,10,3,96,,1401379.872,433314.1432,5,5.00003,
3,,128,Protection : Fire Fighting/Fire Protection,141000,10,3,96,,1423943.855,447398.1447,6,6.00003,
3,,128,Protection : Fire Fighting/Fire Protection,141000,10,3,96,,1450887.142,447397.5787,7,7.00003,
3,,128,Protection : Fire Fighting/Fire Protection,141000,10,3,96,,1470765.077,452863.3921,8,8.00003,
3,,128,Protection : Fire Fighting/Fire Protection,141000,10,3,96,,1485947.866,466602.5141,9,9.00003,
3,,128,Protection : Fire Fighting/Fire Protection,141000,10,3,96,,1505001.918,483834.1597,10,10.00003,
3,,128,Protection : Fire Fighting/Fire Protection,141000,10,3,96,,1515853.258,507211.1628,11,11.00003,
3,,128,Protection : Fire Fighting/Fire Protection,141000,10,3,96,,1515853.258,507211.1628,12,12.00003,
4,,132,Weapon/Weapon System : Air Defense Missile Launcher,111100,15,3,98,,1295468.307,477204.1463,1,1.00004,
4,,132,Weapon/Weapon System : Air Defense Missile Launcher,111100,15,3,98,,1296704.446,511952.8257,2,2.00004,
4,,132,Weapon/Weapon System : Air Defense Missile Launcher,111100,15,3,98,,1319393.427,532427.1814,3,3.00004,
4,,132,Weapon/Weapon System : Air Defense Missile Launcher,111100,15,3,98,,1335278.809,557280.0184,4,4.00004,
4,,132,Weapon/Weapon System : Air Defense Missile Launcher,111100,15,3,98,,1358409.092,583581.6099,5,5.00004,
4,,132,Weapon/Weapon System : Air Defense Missile Launcher,111100,15,3,98,,1373929.308,612045.1161,6,6.00004,
4,,132,Weapon/Weapon System : Air Defense Missile Launcher,111100,15,3,98,,1380752.486,637353.3601,7,7.00004,
4,,132,Weapon/Weapon System : Air Defense Missile Launcher,111100,15,3,98,,1364194.294,654181.844,8,8.00004,
4,,132,Weapon/Weapon System : Air Defense Missile Launcher,111100,15,3,98,,1383785.532,666910.6943,9,9.00004,
4,,132,Weapon/Weapon System : Air Defense Missile Launcher,111100,15,3,98,,1396036.143,689013.7137,10,10.00004,
4,,132,Weapon/Weapon System : Air Defense Missile Launcher,111100,15,3,98,,1405091.556,720658.5143,11,11.00004,
4,,132,Weapon/Weapon System : Air Defense Missile Launcher,111100,15,3,98,,1405091.556,720658.5143,12,12.00004,
5,,151,Military Noncombatant : Service Craft/Yard : Barge- Self-Propelled,130202,30,3,,,5022363.417,570177.1428,1,1.00005,
5,,151,Military Noncombatant : Service Craft/Yard : Barge- Self-Propelled,130202,30,3,,,5012362.115,591234.2309,2,2.00005,
5,,151,Military Noncombatant : Service Craft/Yard : Barge- Self-Propelled,130202,30,3,,,5009110.504,606610.8699,3,3.00005,
5,,151,Military Noncombatant : Service Craft/Yard : Barge- Self-Propelled,130202,30,3,,,5004237.086,621218.5649,4,4.00005,
5,,151,Military Noncombatant : Service Craft/Yard : Barge- Self-Propelled,130202,30,3,,,4991648.376,642150.2275,5,5.00005,
5,,151,Military Noncombatant : Service Craft/Yard : Barge- Self-Propelled,130202,30,3,,,4985243.633,663165.5485,6,6.00005,
5,,151,Military Noncombatant : Service Craft/Yard : Barge- Self-Propelled,130202,30,3,,,4983285.807,683987.7948,7,7.00005,
5,,151,Military Noncombatant : Service Craft/Yard : Barge- Self-Propelled,130202,30,3,,,4977386.822,707560.3837,8,8.00005,
5,,151,Military Noncombatant : Service Craft/Yard : Barge- Self-Propelled,130202,30,3,,,4968573.176,729870.0518,9,9.00005,
5,,151,Military Noncombatant : Service Craft/Yard : Barge- Self-Propelled,130202,30,3,,,4946708.599,737546.2634,10,10.00005,
5,,151,Military Noncombatant : Service Craft/Yard : Barge- Self-Propelled,130202,30,3,,,4929742.951,750357.1439,11,11.00005,
5,,151,Military Noncombatant : Service Craft/Yard : Barge- Self-Propelled,130202,30,3,,,4929742.951,750357.1439,12,12.00005,
6,,152,Utility Vehicles : Utility Vehicle,140100,15,3,98,,4767542.583,1045368.765,1,1.00006,
6,,152,Utility Vehicles : Utility Vehicle,140100,15,3,98,,4799167.284,1025600.062,2,2.00006,
6,,152,Utility Vehicles : Utility Vehicle,140100,15,3,98,,4818439.261,994401.0763,3,3.00006,
6,,152,Utility Vehicles : Utility Vehicle,140100,15,3,98,,4835821.915,962908.4116,4,4.00006,
6,,152,Utility Vehicles : Utility Vehicle,140100,15,3,98,,4848708.447,931387.789,5,5.00006,
6,,152,Utility Vehicles : Utility Vehicle,140100,15,3,98,,4854593.614,895509.1489,6,6.00006,
6,,152,Utility Vehicles : Utility Vehicle,140100,15,3,98,,4870076.188,864441.8447,7,7.00006,
6,,152,Utility Vehicles : Utility Vehicle,140100,15,3,98,,4882310.513,831745.7993,8,8.00006,
6,,152,Utility Vehicles : Utility Vehicle,140100,15,3,98,,4907181.437,808341.0508,9,9.00006,
6,,152,Utility Vehicles : Utility Vehicle,140100,15,3,98,,4919080.178,784231.3368,10,10.00006,
6,,152,Utility Vehicles : Utility Vehicle,140100,15,3,98,,4928784.724,752468.3577,11,11.00006,
6,,152,Utility Vehicles : Utility Vehicle,140100,15,3,98,,4928784.724,752468.3577,12,12.00006,
7,,163,Sustainment : Laundry/Bath,162497,10,3,,,355928.7654,1464750.61,1,1.00007,
7,,163,Sustainment : Laundry/Bath,162497,10,3,,,382510.279,1456082.265,2,2.00007,
7,,163,Sustainment : Laundry/Bath,162497,10,3,,,405549.5706,1465054.138,3,3.00007,
7,,163,Sustainment : Laundry/Bath,162497,10,3,,,423907.0114,1485947.271,4,4.00007,
7,,163,Sustainment : Laundry/Bath,162497,10,3,,,440192.3507,1506633.085,5,5.00007,
7,,163,Sustainment : Laundry/Bath,162497,10,3,,,449304.2031,1532449.49,6,6.00007,
7,,163,Sustainment : Laundry/Bath,162497,10,3,,,472563.8382,1543479.124,7,7.00007,
7,,163,Sustainment : Laundry/Bath,162497,10,3,,,499389.261,1546477.244,8,8.00007,
7,,163,Sustainment : Laundry/Bath,162497,10,3,,,524741.335,1555328.286,9,9.00007,
7,,163,Sustainment : Laundry/Bath,162497,10,3,,,550101.6306,1549847.178,10,10.00007,
7,,163,Sustainment : Laundry/Bath,162497,10,3,,,577627.3756,1550014.597,11,11.00007,
7,,163,Sustainment : Laundry/Bath,162497,10,3,,,577627.3756,1550014.597,12,12.00007,
8,,174,Civilian (Sea Surface) : Fishing Vessel,140200,30,3,,,584684.6528,1551803.049,1,1.00008,
8,,174,Civilian (Sea Surface) : Fishing Vessel,140200,30,3,,,603970.2344,1566045.036,2,2.00008,
8,,174,Civilian (Sea Surface) : Fishing Vessel,140200,30,3,,,627922.1129,1571221.636,3,3.00008,
8,,174,Civilian (Sea Surface) : Fishing Vessel,140200,30,3,,,650029.285,1576748.197,4,4.00008,
8,,174,Civilian (Sea Surface) : Fishing Vessel,140200,30,3,,,670561.2552,1576607.88,5,5.00008,
8,,174,Civilian (Sea Surface) : Fishing Vessel,140200,30,3,,,689447.0148,1561258.469,6,6.00008,
8,,174,Civilian (Sea Surface) : Fishing Vessel,140200,30,3,,,712020.2685,1553517.869,7,7.00008,
8,,174,Civilian (Sea Surface) : Fishing Vessel,140200,30,3,,,726628.4945,1534408.665,8,8.00008,
8,,174,Civilian (Sea Surface) : Fishing Vessel,140200,30,3,,,748871.153,1535994.066,9,9.00008,
8,,174,Civilian (Sea Surface) : Fishing Vessel,140200,30,3,,,772458.052,1532592.528,10,10.00008,
8,,174,Civilian (Sea Surface) : Fishing Vessel,140200,30,3,,,791099.0524,1519606.786,11,11.00008,
8,,174,Civilian (Sea Surface) : Fishing Vessel,140200,30,3,,,791099.0524,1519606.786,12,12.00008,
9,,247,Protection : Explosive Ordnance Disposal (EOD),140800,10,3,,,1331848.229,1090267.149,1,1.00009,
9,,247,Protection : Explosive Ordnance Disposal (EOD),140800,10,3,,,1332144.03,1120624.807,2,2.00009,
9,,247,Protection : Explosive Ordnance Disposal (EOD),140800,10,3,,,1332195.521,1149450.922,3,3.00009,
9,,247,Protection : Explosive Ordnance Disposal (EOD),140800,10,3,,,1347839.593,1168523.218,4,4.00009,
9,,247,Protection : Explosive Ordnance Disposal (EOD),140800,10,3,,,1353801.967,1195010.781,5,5.00009,
9,,247,Protection : Explosive Ordnance Disposal (EOD),140800,10,3,,,1377706.744,1203508.9,6,6.00009,
9,,247,Protection : Explosive Ordnance Disposal (EOD),140800,10,3,,,1395775.383,1226463.558,7,7.00009,
9,,247,Protection : Explosive Ordnance Disposal (EOD),140800,10,3,,,1418276.21,1247007.753,8,8.00009,
9,,247,Protection : Explosive Ordnance Disposal (EOD),140800,10,3,,,1434795.492,1272288.646,9,9.00009,
9,,247,Protection : Explosive Ordnance Disposal (EOD),140800,10,3,,,1449244.421,1299295.933,10,10.00009,
9,,247,Protection : Explosive Ordnance Disposal (EOD),140800,10,3,,,1460146.591,1326736.298,11,11.00009,
9,,247,Protection : Explosive Ordnance Disposal (EOD),140800,10,3,,,1460146.591,1326736.298,12,12.00009,
10,,257,Weapon/Weapon System : Howitzer : Medium,110902,15,3,98,,3165084.631,1425327.482,1,1.0001,
10,,257,Weapon/Weapon System : Howitzer : Medium,110902,15,3,98,,3134627.809,1448342.915,2,2.0001,
10,,257,Weapon/Weapon System : Howitzer : Medium,110902,15,3,98,,3103396.384,1472528.446,3,3.0001,
10,,257,Weapon/Weapon System : Howitzer : Medium,110902,15,3,98,,3066038.737,1485198.864,4,4.0001,
10,,257,Weapon/Weapon System : Howitzer : Medium,110902,15,3,98,,3029222.358,1500225.927,5,5.0001,
10,,257,Weapon/Weapon System : Howitzer : Medium,110902,15,3,98,,2995323.968,1519525.367,6,6.0001,
10,,257,Weapon/Weapon System : Howitzer : Medium,110902,15,3,98,,2957259.5,1528429.682,7,7.0001,
10,,257,Weapon/Weapon System : Howitzer : Medium,110902,15,3,98,,2931428.227,1556269.16,8,8.0001,
10,,257,Weapon/Weapon System : Howitzer : Medium,110902,15,3,98,,2893491.281,1567085.456,9,9.0001,
10,,257,Weapon/Weapon System : Howitzer : Medium,110902,15,3,98,,2857150.607,1550751.163,10,10.0001,
10,,257,Weapon/Weapon System : Howitzer : Medium,110902,15,3,98,,2822985.643,1531032.349,11,11.0001,
10,,257,Weapon/Weapon System : Howitzer : Medium,110902,15,3,98,,2822985.643,1531032.349,12,12.0001,
11,,261,,110100,52,3,,,3387898.418,2177607.093,1,1.00011,
11,,261,,110100,52,3,,,3381071.94,2200628.986,2,2.00011,
11,,261,,110100,52,3,,,3376320.405,2224696.458,3,3.00011,
11,,261,,110100,52,3,,,3366206.082,2245108.722,4,4.00011,
11,,261,,110100,52,3,,,3364404.54,2268292.451,5,5.00011,
11,,261,,110100,52,3,,,3372311.599,2291261.29,6,6.00011,
11,,261,,110100,52,3,,,3376624.855,2314011.309,7,7.00011,
11,,261,,110100,52,3,,,3370319.76,2336677.737,8,8.00011,
11,,261,,110100,52,3,,,3369365.604,2360175.065,9,9.00011,
11,,261,,110100,52,3,,,3381865.56,2378209.551,10,10.00011,
11,,261,,110100,52,3,,,3398068.411,2394500.985,11,11.00011,
11,,261,,110100,52,3,,,3398068.411,2394500.985,12,12.00011,
12,,262,,110300,52,3,,,3387898.418,2177607.093,1,1.00012,
12,,262,,110300,52,3,,,3381071.94,2200628.986,2,2.00012,
12,,262,,110300,52,3,,,3376320.405,2224696.458,3,3.00012,
12,,262,,110300,52,3,,,3366206.082,2245108.722,4,4.00012,
12,,262,,110300,52,3,,,3364404.54,2268292.451,5,5.00012,
12,,262,,110300,52,3,,,3372311.599,2291261.29,6,6.00012,
12,,262,,110300,52,3,,,3376624.855,2314011.309,7,7.00012,
12,,262,,110300,52,3,,,3370319.76,2336677.737,8,8.00012,
12,,262,,110300,52,3,,,3369365.604,2360175.065,9,9.00012,
12,,262,,110300,52,3,,,3381865.56,2378209.551,10,10.00012,
12,,262,,110300,52,3,,,3398068.411,2394500.985,11,11.00012,
12,,262,,110300,52,3,,,3398068.411,2394500.985,12,12.00012,
13,,263,,110200,52,3,,,3387898.418,2177607.093,1,1.00013,
13,,263,,110200,52,3,,,3381071.94,2200628.986,2,2.00013,
13,,263,,110200,52,3,,,3376320.405,2224696.458,3,3.00013,
13,,263,,110200,52,3,,,3366206.082,2245108.722,4,4.00013,
13,,263,,110200,52,3,,,3364404.54,2268292.451,5,5.00013,
13,,263,,110200,52,3,,,3372311.599,2291261.29,6,6.00013,
13,,263,,110200,52,3,,,3376624.855,2314011.309,7,7.00013,
