old_id,trackID,name,joinID,symbolname,symbolentity,symbolset,identity,specialentitysubtype,sidc,x,y,sequence,order,time
1,1,,100,Command and Control : Signal : Radio,111001,10,3,,,9.2889048,7.156478899,1,1.00001,
13,2,,116,Fires : Air Defense,130100,10,3,,,13.8169505,2.2230554,1,1.00002,
25,3,,128,Protection : Fire Fighting/Fire Protection,141000,10,3,96,,11.6608916,3.8585946,1,1.00003,
37,4,,132,Weapon/Weapon System : Air Defense Missile Launcher,111100,15,3,98,,11.6373898,4.2828039,1,1.00004,
49,5,,151,Military Noncombatant : Service Craft/Yard : Barge- Self-Propelled,130202,30,3,,,45.1166582,5.1151799,1,1.00005,
61,6,,152,Utility Vehicles : Utility Vehicle,140100,15,3,98,,42.8275637,9.3489441,1,1.00006,
73,7,,163,Sustainment : Laundry/Bath,162497,10,3,,,3.1973625,13.0439212,1,1.00007,
85,8,,174,Civilian (Sea Surface) : Fishing Vessel,140200,30,3,,,5.2523116,13.8045542,1,1.00008,
97,9,,247,Protection : Explosive Ordnance Disposal (EOD),140800,10,3,,,11.9641962,9.7466852,1,1.00009,
109,10,,257,Weapon/Weapon System : Howitzer : Medium,110902,15,3,98,,28.432439,12.6986764,1,1.0001,
121,11,,261,,110100,52,3,,,30.4340093,19.1924513,1,1.00011,
133,12,,262,,110300,52,3,,,30.4340093,19.1924513,1,1.00012,
145,13,,263,,110200,52,3,,,30.4340093,19.1924513,1,1.00013,
157,14,,277,Military Combatant : Amphibious Warfare Ship : Transport Dock,120306,30,3,,,31.2281262,17.9546251,1,1.00014,
169,15,,278,Military (Sea Subsurface) : Other Submersible,110200,35,3,,,33.9581284,17.6632901,1,1.00015,
181,16,,292,,,11,5,,,30.4933186,19.1862909,1,1.00016,
193,17,,296,Law Enforcement (Land Units),200000,10,3,,,36.8725634,21.7346364,1,1.00017,
205,18,,379,Installation : Tented Camp : Displaced Persons / Refugee / Evacuees Camp,111901,20,3,,,-8.704413,7.9822375,1,1.00018,
217,19,,402,Weapon (Air) : Bomb,130100,1,3,,,-2.026052,34.6937996,1,1.00019,
229,20,,424,Intelligence : Counterintelligence,150200,10,3,71,,-9.1884195,14.5544489,1,1.0002,
241,21,,427,Sustainment : NATO Supply Class I,160895,10,3,,,-9.189463,14.5540407,1,1.00021,
253,22,,429,Health and Status : Network Outage,130200,60,3,,,-6.3258854,33.8773536,1,1.00022,
265,23,,435,Intelligence : Military Intelligence,151000,10,3,,,-7.4147657,33.6529398,1,1.00023,
277,24,,436,Sustainment : All Classes of Supply,160200,10,3,,,-7.4172615,33.6499133,1,1.00024,
289,25,,447,Civilian (Sea Surface) : Fishing Vessel : Drifter,140201,30,3,,,-11.1076024,10.7432276,1,1.00025,
301,26,,470,Intelligence : Direction Finding,162997,10,3,25,,-11.4733207,14.4545492,1,1.00026,
313,27,,559,NMLO-General : Non-Mine Mine-Like Object-Floating,190300,36,3,,,35.8101982,-4.9172621,1,1.00027,
325,28,,600,Military (Sea Subsurface) : Submarine : Submarine-Surfaced,110101,35,1,,,32.8012988,-5.0290417,1,1.00028,
337,29,,649,Engineer Equipment : Earthmover,130800,15,3,98,,26.3715179,-12.1759639,1,1.00029,
349,30,,681,Movement and Maneuver : Sea Air Land (SEAL),121400,10,3,,,33.6167475,-16.1347065,1,1.0003,
361,31,,696,Weapon/Weapon System : Recoilless Gun : Heavy,110803,15,3,98,,39.2831162,-15.113152,1,1.00031,
373,32,,730,Natural Event : Infestation : Microbial,170303,40,3,,,34.5670666,-21.1401648,1,1.00032,
385,33,,742,Civilian (Sea Surface) : Merchant Ship : Hovercraft,140107,30,3,,,17.1317383,-22.7717133,1,1.00033,
397,34,,745,Fused Track (Sea Subsurface),150000,35,1,,,17.9487634,-24.5393925,1,1.00034,
409,35,,823,Protection : Military Police,141200,10,3,98,,28.0754193,-25.8993966,1,1.00035,
421,36,,824,Protection : Mine Clearing,141400,10,3,98,,29.3932524,-23.9536158,1,1.00036,
433,37,,862,Protection : Search and Rescue,163900,10,3,96,,35.3379062,-23.2061479,1,1.00037,
445,38,,946,Utility Vehicles : Semi-Trailer and Truck : Heavy,140603,15,3,98,,22.354757,-33.8193252,1,1.00038,
457,39,,990,Military Combatant : Unmanned Surface Water Vehicle (USV),120700,30,3,,,30.8010097,-29.8236751,1,1.00039,
469,40,,991,Military Combatant : Speedboat,120800,30,3,,,29.5504479,-28.4530587,1,1.0004,
481,41,Autoroute Casablanca-Agadir طرق السيارات الدار البيضاء - أكادير,1092,Vehicle : Tank : Heavy,120203,15,3,98,,-8.9806678,31.1916051,1,1.00041,
493,42,Autoroute Casablanca-Agadir طرق السيارات الدار البيضاء - أكادير,1093,Vehicle : Tank Recovery Vehicle : Light,120301,15,3,98,,-7.6341777,33.5215034,1,1.00042,
505,43,Autoroute Rabat - Safi طرق السيارات الرباط - آسفي,1140,Intelligence : Search,151100,10,3,,,-7.4147657,33.6529398,1,1.00043,
517,44,Bertoua-Garoua-Boulai,1187,,110100,50,4,,,13.6941049,4.5780325,1,1.00044,
529,45,Burao-Erigavo Highway (Siilaanyo Road),1209,Law Enforcement (Land Units) : DEA,162400,10,3,,,45.9524903,9.1445998,1,1.00045,
541,46,Great East Road,1287,Civilian (Sea Surface) : Merchant Ship : Lash Carrier (with Barges),140108,30,3,,,30.5799052,-14.7793303,1,1.00046,
553,47,Great North Road,1291,Civilian Vehicle : Tractor Trailer with Box : Large/Heavy,160603,15,3,98,,29.0745897,-13.7534463,1,1.00047,
565,48,Isiolo-Mandera Road,1311,Obstructor : Neutralized Obstructor,170100,36,3,,,40.7120211,2.4907656,1,1.00048,
577,49,Isiolo-Mandera Road,1313,General Mine Anchor,180000,36,3,,,40.7120211,2.4907656,1,1.00049,
589,50,Iringa Road,1328,Sustainment : Sea Port of Debarkation/Sea Port of Embarkation,163300,10,3,,,35.7649917,-7.7821269,1,1.0005,
601,51,Kaduna-Jos Highway,1339,Own Ship,150000,30,3,,,8.8559562,9.9602991,1,1.00051,
613,52,Maroua-Kousséri,1420,Civilian (Sea Surface) : Merchant Ship : Passenger,140110,30,3,,,14.9213054,12.0916552,1,1.00052,
625,53,Songea - Tunduru Road,1589,Civilian (Sea Subsurface),120000,35,6,,,37.334652,-11.044419,1,1.00053,
